0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	2_CELL_CELL_SIGNALING	2_INTERPHASE_OF_MITOTIC_CELL_CYCLE	1_KEGG_BLADDER_CANCER	0_HALLMARK_COMPLEMENT	1_KEGG_CELL_CYCLE	0_HALLMARK_E2F_TARGETS	0_HALLMARK_ANGIOGENESIS	1_KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	2_CHROMOSOMAL_PART	1_KEGG_TYPE_I_DIABETES_MELLITUS	1_KEGG_P53_SIGNALING_PATHWAY	2_EXTRACELLULAR_MATRIX_PART	1_KEGG_FOCAL_ADHESION	2_COLLAGEN	2_TRANSMISSION_OF_NERVE_IMPULSE	1_KEGG_LEISHMANIA_INFECTION	2_REGULATION_OF_CELL_CYCLE	1_KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1_KEGG_GRAFT_VERSUS_HOST_DISEASE	2_CHROMOSOME	2_INTERPHASE	0_HALLMARK_APOPTOSIS	2_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	2_NEGATIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	2_CELL_CYCLE_CHECKPOINT_GO_0000075	2_EXTRACELLULAR_MATRIX	1_KEGG_SMALL_CELL_LUNG_CANCER	0_HALLMARK_G2M_CHECKPOINT	2_CELL_CYCLE_GO_0007049	1_KEGG_AUTOIMMUNE_THYROID_DISEASE	2_NON_MEMBRANE_BOUND_ORGANELLE	2_CELL_PROLIFERATION_GO_0008283	0_HALLMARK_UV_RESPONSE_DN	2_CELL_CYCLE_PROCESS	2_SYNAPTIC_TRANSMISSION	2_GABA_RECEPTOR_ACTIVITY	1_KEGG_ASTHMA	1_KEGG_ECM_RECEPTOR_INTERACTION	2_MITOTIC_CELL_CYCLE	2_EXTRACELLULAR_REGION	1_KEGG_ALLOGRAFT_REJECTION	1_KEGG_MELANOMA	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0_HALLMARK_INTERFERON_GAMMA_RESPONSE	1_KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1_KEGG_PROTEIN_EXPORT	2_AXON	2_CELL_CYCLE_PHASE	2_EXTRACELLULAR_REGION_PART	1_KEGG_PATHWAYS_IN_CANCER	2_REGULATION_OF_PHOSPHORYLATION	1_KEGG_VIRAL_MYOCARDITIS	1_KEGG_DNA_REPLICATION	2_MICROTUBULE_CYTOSKELETON
GBM_1_EGFR	0.822	0.372	0.45	0	0	0	0	0.504	0.38	0	0	0.357	0	0.279	0.713	0.349	0	0	0	0	0	0	0	0	0	0	0	0	0.364	0	0.411	0.333	0	0	0	0	0	0.295	0.62	0.566	0	0.721	0	0	0	0.442	0	0	0	0	0	0	0	0.271	0.357	0	0	0
GBM_2_CDKN2A	0.599	0	0	0	0	0	0	0.66	0	0	0	0.517	0.551	0	0.483	0	0	0.374	0	0	0	0.32	0	0.605	0	0.571	0	0	0	0	0.537	0.599	0	0	0	0	0.374	0	0.422	0.816	0	0.49	0.32	0	0	0.32	0	0	0	0	0	0.388	0	0.333	0	0	0	0
GBM_3_TP53	0.785	0	0	0	0	0	0	0.774	0	0	0	0.763	0	0.387	0.505	0	0	0.419	0	0	0.301	0	0	0	0.462	0	0	0.301	0	0.301	0.677	0.538	0	0.462	0	0	0	0	0.505	0.763	0	0.505	0	0	0	0	0	0	0	0	0	0	0	0.301	0.312	0	0.323	0
GBM_4_CDKN2B	0.616	0	0	0.344	0	0	0	0.696	0	0	0	0.552	0.592	0	0.488	0	0	0.408	0	0	0	0.368	0	0.648	0	0.608	0	0	0	0	0.576	0.648	0	0	0	0	0.424	0	0.432	0.856	0	0.504	0.36	0	0	0	0	0	0	0	0	0.448	0	0.344	0	0	0	0
GBM_5_PTEN	0.695	0.4	0.284	0	0	0	0	0.516	0.379	0	0	0.516	0	0.495	0.663	0.4	0	0.284	0	0	0	0	0	0	0	0	0	0	0.4	0	0.442	0.358	0	0	0	0	0	0	0.495	0.558	0	0.621	0	0	0	0.368	0	0	0	0	0	0	0	0	0.389	0	0.253	0
GBM_6_HLA-DRB1	0.613	0	0	0	0	0	0.613	0.403	0.355	0.661	0.661	0	0	0	0.484	0	0	0	0.581	0.661	0	0	0	0	0	0	0	0	0	0	0	0	0.645	0	0	0	0	0	0.419	0.452	0.694	0.532	0	0	0.661	0	0.613	0.371	0.581	0	0	0	0	0	0	0.661	0	0
GBM_7_CDK4	0.676	0	0	0	0.459	0	0	0.919	0	0	0	0.703	0	0	0.486	0	0	0.541	0	0	0.432	0	0	0	0.595	0	0.432	0	0	0	0.784	0.73	0	0.595	0.432	0	0	0	0.486	0.919	0	0.541	0	0	0	0	0	0	0	0	0	0.459	0	0.405	0	0	0.405	0
GBM_8_SEC61G	0.358	0.17	0	0	0	0	0	0.358	0.189	0	0.151	0.264	0	0	0.264	0	0	0	0	0.151	0	0	0	0	0	0	0	0	0.17	0	0.283	0.189	0	0	0	0	0	0	0.264	0.377	0	0.321	0	0	0.151	0.17	0.151	0	0	0.189	0	0	0	0	0	0	0.208	0
GBM_9_PIK3CA	0.867	0.367	0.367	0	0	0.3	0	0.6	0.4	0	0	0.4	0	0.367	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333	0.333	0.5	0.333	0	0	0	0	0	0	0.7	0.667	0.3	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.433	0	0.367	0
GBM_10_PRKY	0.396	0.189	0.226	0	0	0	0	0.321	0	0	0	0.245	0	0.226	0.208	0.245	0.189	0	0	0	0	0	0	0	0	0	0	0	0.189	0	0.245	0.17	0	0	0	0	0	0.245	0.453	0.377	0.17	0.302	0	0	0	0	0.189	0	0	0	0	0	0	0	0.189	0	0	0
GBM_11_PIK3R1	0.8	0.467	0	0	0	0	0	0.567	0	0	0.333	0.467	0	0.467	0.667	0.4	0	0	0	0.333	0	0	0	0	0	0	0	0	0.467	0.367	0.5	0.367	0	0	0	0	0	0	0.767	0.633	0.4	0.633	0	0	0.367	0	0	0	0	0	0	0	0	0	0.467	0	0	0
GBM_12_RB1	0.636	0	0	0	0	0	0	0.818	0	0	0.364	0.636	0	0.455	0.591	0	0	0.591	0	0.364	0	0	0	0	0.5	0	0	0	0	0	0.773	0.682	0	0.5	0	0	0	0	0.545	0.818	0	0.545	0	0	0.364	0.364	0	0	0	0	0	0	0	0	0.409	0	0.364	0
GBM_13_TBL1Y	0.727	0.318	0	0	0	0	0	0.727	0	0.318	0.318	0.636	0	0	0.409	0	0	0.455	0	0.318	0	0	0	0	0	0	0	0	0	0	0.636	0.545	0	0	0	0	0	0	0.591	0.818	0.409	0.545	0	0	0.318	0	0.364	0	0	0	0	0	0	0	0.318	0.318	0	0
GBM_14_TTN	0.824	0.471	0	0	0	0.412	0	0.529	0.471	0	0.412	0.471	0	0.529	0.647	0.529	0	0	0	0	0	0	0	0	0	0	0	0	0.471	0	0.471	0	0	0	0	0	0	0	0.647	0.588	0	0.706	0	0	0.471	0	0.412	0.412	0	0	0	0	0	0	0.588	0	0	0
GBM_15_NF1	0.667	0.5	0.444	0	0	0	0	0.444	0.278	0	0	0.389	0	0.5	0.667	0.556	0.444	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.333	0.333	0	0	0	0	0	0	0.722	0.5	0	0.667	0	0	0	0	0.278	0	0	0	0.333	0	0	0	0.556	0	0	0
GBM_16_DCTN2	0.5	0	0	0	0.35	0	0	0.65	0	0	0	0.55	0	0	0.35	0	0	0.5	0	0	0.45	0	0	0	0.6	0	0	0	0	0	0.6	0.6	0	0.6	0.4	0.4	0.35	0	0	0.65	0.35	0.35	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0.45
GBM_17_KIT	0.667	0.375	0	0	0	0	0	0.542	0	0	0	0.542	0	0.542	0.708	0.375	0	0	0	0	0.375	0	0	0	0.417	0	0	0	0.375	0	0.542	0.458	0	0.417	0	0	0	0	0.458	0.583	0	0.625	0	0	0	0.542	0	0	0	0	0	0	0	0.667	0.417	0	0	0
GBM_18_KLHL9	0.412	0.206	0	0	0	0	0	0.441	0.176	0	0	0.382	0.294	0.206	0.324	0.265	0	0	0	0	0	0	0	0.265	0	0	0	0.206	0	0	0.382	0.265	0	0	0	0	0	0	0.265	0.441	0	0.353	0	0	0	0	0	0	0	0	0	0	0	0.206	0.235	0	0.206	0
GBM_19_GLI1	0.692	0	0	0	0	0	0.538	0.538	0	0.462	0.538	0.462	0	0	0.462	0	0	0	0.462	0.538	0	0	0.462	0	0.462	0	0	0	0	0	0	0	0.462	0.462	0	0	0	0	0	0.538	0.538	0.462	0	0	0.538	0	0.538	0	0	0	0	0	0	0	0	0.462	0	0
GBM_20_PIK3C2B	0.824	0.471	0	0	0	0	0	0.529	0.471	0	0	0.471	0	0.294	0.647	0	0	0	0	0	0	0	0.294	0	0	0	0	0	0.471	0	0.471	0.412	0	0	0	0	0	0	0.471	0.529	0	0.706	0	0.353	0	0.353	0	0	0	0	0	0	0.353	0	0.412	0	0.294	0
