ACAP2	14	0_HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.071	1_KEGG_CELL_CYCLE	0.071	1_KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.071	1_KEGG_PATHWAYS_IN_CANCER	0.071	1_KEGG_MELANOMA	0.071	1_KEGG_BLADDER_CANCER	0.071	1_KEGG_SMALL_CELL_LUNG_CANCER	0.071	2_EXTRACELLULAR_REGION	0.071	2_EXTRACELLULAR_REGION_PART	0.071	2_EXTRACELLULAR_SPACE	0.071	
AKAP3	6	
AKT1	10	0_HALLMARK_G2M_CHECKPOINT	0.900	0_HALLMARK_E2F_TARGETS	0.900	2_CELL_PROLIFERATION_GO_0008283	0.900	2_CELL_CYCLE_GO_0007049	0.900	1_KEGG_CELL_CYCLE	0.800	2_M_PHASE	0.800	2_CELL_CYCLE_PROCESS	0.800	2_CELL_CYCLE_PHASE	0.800	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.800	2_REGULATION_OF_CELL_CYCLE	0.800	
AKT2	20	0_HALLMARK_G2M_CHECKPOINT	0.800	0_HALLMARK_E2F_TARGETS	0.800	1_KEGG_CELL_CYCLE	0.750	1_KEGG_P53_SIGNALING_PATHWAY	0.750	2_CELL_CYCLE_GO_0007049	0.750	1_KEGG_PATHWAYS_IN_CANCER	0.700	2_M_PHASE	0.650	2_CELL_CYCLE_PROCESS	0.650	2_MITOTIC_CELL_CYCLE	0.650	2_CELL_CYCLE_PHASE	0.650	
AKT3	16	1_KEGG_P53_SIGNALING_PATHWAY	0.688	1_KEGG_PATHWAYS_IN_CANCER	0.688	2_REGULATION_OF_CELL_CYCLE	0.688	1_KEGG_CELL_CYCLE	0.562	1_KEGG_PANCREATIC_CANCER	0.562	2_CELL_PROLIFERATION_GO_0008283	0.562	2_CELL_CYCLE_GO_0007049	0.562	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_E2F_TARGETS	0.500	1_KEGG_PROSTATE_CANCER	0.438	
ANGPT1	23	1_KEGG_CELL_CYCLE	0.696	1_KEGG_PATHWAYS_IN_CANCER	0.652	1_KEGG_P53_SIGNALING_PATHWAY	0.609	2_REGULATION_OF_CELL_CYCLE	0.609	2_CELL_CYCLE_GO_0007049	0.565	2_CELL_PROLIFERATION_GO_0008283	0.522	0_HALLMARK_G2M_CHECKPOINT	0.478	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.478	0_HALLMARK_E2F_TARGETS	0.435	2_EXTRACELLULAR_REGION	0.435	
ANXA2	2	0_HALLMARK_HYPOXIA	0.500	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_E2F_TARGETS	0.500	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	0_HALLMARK_ANGIOGENESIS	0.500	1_KEGG_CELL_CYCLE	0.500	1_KEGG_P53_SIGNALING_PATHWAY	0.500	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	0.500	2_EXTRACELLULAR_MATRIX_PART	0.500	2_EXTRACELLULAR_REGION	0.500	
AQP1	2	2_EXCRETION	1.000	
ARID1A	3	0_HALLMARK_G2M_CHECKPOINT	0.667	0_HALLMARK_E2F_TARGETS	0.667	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.667	1_KEGG_CELL_CYCLE	0.667	1_KEGG_P53_SIGNALING_PATHWAY	0.667	1_KEGG_PATHWAYS_IN_CANCER	0.667	1_KEGG_PANCREATIC_CANCER	0.667	1_KEGG_SMALL_CELL_LUNG_CANCER	0.667	2_NUCLEUS	0.667	2_DNA_METABOLIC_PROCESS	0.667	
ATN1	7	0_HALLMARK_E2F_TARGETS	0.714	1_KEGG_CELL_CYCLE	0.714	2_REGULATION_OF_CELL_CYCLE	0.714	0_HALLMARK_G2M_CHECKPOINT	0.571	1_KEGG_P53_SIGNALING_PATHWAY	0.571	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.571	2_CELL_CYCLE_GO_0007049	0.571	1_KEGG_PATHWAYS_IN_CANCER	0.429	2_M_PHASE	0.429	2_CELL_CYCLE_PROCESS	0.429	
AURKA	11	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_E2F_TARGETS	1.000	2_M_PHASE	1.000	2_CELL_CYCLE_PROCESS	1.000	2_CELL_CYCLE_GO_0007049	1.000	1_KEGG_CELL_CYCLE	0.909	2_MICROTUBULE_CYTOSKELETON	0.909	2_MITOTIC_CELL_CYCLE	0.909	2_CELL_CYCLE_PHASE	0.909	2_MITOSIS	0.909	
BCAT1	1	
BCL2L1	16	2_CELL_PROLIFERATION_GO_0008283	0.875	0_HALLMARK_E2F_TARGETS	0.812	0_HALLMARK_G2M_CHECKPOINT	0.750	1_KEGG_CELL_CYCLE	0.750	1_KEGG_P53_SIGNALING_PATHWAY	0.750	1_KEGG_PATHWAYS_IN_CANCER	0.688	2_CELL_CYCLE_PROCESS	0.688	2_CELL_CYCLE_PHASE	0.688	2_CELL_CYCLE_GO_0007049	0.688	1_KEGG_PANCREATIC_CANCER	0.625	
BCL6	38	1_KEGG_CELL_CYCLE	0.289	2_CELL_CYCLE_GO_0007049	0.289	0_HALLMARK_G2M_CHECKPOINT	0.263	0_HALLMARK_E2F_TARGETS	0.263	1_KEGG_P53_SIGNALING_PATHWAY	0.237	2_M_PHASE	0.237	2_CELL_CYCLE_PROCESS	0.237	2_CELL_CYCLE_PHASE	0.237	2_REGULATION_OF_CELL_CYCLE	0.237	1_KEGG_PATHWAYS_IN_CANCER	0.211	
BRCA1	13	0_HALLMARK_E2F_TARGETS	0.769	2_CELL_CYCLE_GO_0007049	0.769	1_KEGG_CELL_CYCLE	0.692	2_REGULATION_OF_CELL_CYCLE	0.692	1_KEGG_P53_SIGNALING_PATHWAY	0.615	2_CELL_PROLIFERATION_GO_0008283	0.615	0_HALLMARK_G2M_CHECKPOINT	0.538	1_KEGG_PATHWAYS_IN_CANCER	0.538	2_CELL_CYCLE_PHASE	0.538	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.538	
CASP1	6	2_CELL_PROLIFERATION_GO_0008283	0.833	0_HALLMARK_G2M_CHECKPOINT	0.667	0_HALLMARK_E2F_TARGETS	0.667	1_KEGG_CELL_CYCLE	0.667	1_KEGG_P53_SIGNALING_PATHWAY	0.667	2_CELL_CYCLE_PROCESS	0.667	2_CELL_CYCLE_PHASE	0.667	2_CELL_CYCLE_GO_0007049	0.667	0_HALLMARK_ANGIOGENESIS	0.500	1_KEGG_FOCAL_ADHESION	0.500	
