0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	2_REGULATION_OF_CELL_PROLIFERATION	2_REGULATION_OF_TRANSFERASE_ACTIVITY	1_KEGG_APOPTOSIS	1_KEGG_CELL_CYCLE	0_HALLMARK_E2F_TARGETS	0_HALLMARK_ANGIOGENESIS	1_KEGG_P53_SIGNALING_PATHWAY	2_EXTRACELLULAR_REGION	1_KEGG_FOCAL_ADHESION	2_CELL_PROLIFERATION_GO_0008283	2_REGULATION_OF_CELL_CYCLE	2_CHROMOSOME	2_COLLAGEN	2_EXTRACELLULAR_REGION_PART	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	2_REGULATION_OF_KINASE_ACTIVITY	0_HALLMARK_MITOTIC_SPINDLE	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	2_CELL_CYCLE_CHECKPOINT_GO_0000075	2_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	2_EXTRACELLULAR_MATRIX	1_KEGG_SMALL_CELL_LUNG_CANCER	0_HALLMARK_G2M_CHECKPOINT	2_CELL_CYCLE_GO_0007049	2_NON_MEMBRANE_BOUND_ORGANELLE	2_M_PHASE_OF_MITOTIC_CELL_CYCLE	1_KEGG_PANCREATIC_CANCER	2_CELL_CYCLE_PROCESS	2_REGULATION_OF_MOLECULAR_FUNCTION	2_MITOTIC_CELL_CYCLE	1_KEGG_MELANOMA	2_AGING	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1_KEGG_OOCYTE_MEIOSIS	2_CELL_CYCLE_PHASE	2_DNA_METABOLIC_PROCESS	1_KEGG_PATHWAYS_IN_CANCER	2_EXTRACELLULAR_MATRIX_PART	2_MITOSIS	2_M_PHASE
OV_1_TP53	0.29	0	0.317	0	0	0.76	0.747	0	0.753	0	0	0	0.703	0	0	0	0	0	0	0.48	0.41	0	0	0	0	0.687	0.743	0	0.317	0	0.703	0.607	0	0.49	0	0	0	0.597	0.31	0.493	0	0.32	0.55
OV_2_MYC	0.34	0	0.392	0	0	0.845	0.742	0	0.814	0	0.34	0	0.794	0	0	0.351	0	0	0	0.536	0.412	0	0	0	0.515	0.691	0.814	0	0	0	0.722	0.598	0	0.454	0	0	0	0.619	0	0.639	0	0	0.526
OV_3_PTK2	0.444	0.417	0	0	0	0.819	0.694	0	0.75	0	0	0	0.764	0	0	0.444	0	0	0	0.5	0.431	0	0	0.417	0.583	0.639	0.778	0	0	0	0.694	0.556	0	0	0	0	0	0.597	0	0.639	0.431	0	0.472
OV_4_PIK3CA	0	0	0	0	0	0.893	0.893	0	0.804	0	0	0	0.768	0	0	0	0	0	0	0.536	0.482	0	0.375	0	0.411	0.857	0.857	0	0	0.375	0.75	0.714	0	0.589	0	0	0.411	0.714	0	0.679	0	0.357	0.643
OV_5_PRKCI	0.242	0	0.274	0	0	0.581	0.548	0	0.581	0	0	0	0.516	0	0	0	0	0	0	0.355	0.29	0	0.258	0	0.355	0.565	0.565	0	0	0.29	0.5	0.435	0	0.306	0	0	0	0.403	0	0.565	0	0	0.339
OV_6_CCNE1	0	0	0.489	0	0	0.936	0.936	0	0.936	0	0	0	0.894	0	0	0	0	0	0	0.745	0.511	0	0	0	0	0.915	0.936	0	0.426	0	0.83	0.872	0.426	0.723	0	0	0	0.851	0.489	0.745	0	0.426	0.809
OV_7_COL14A1	0.675	0.6	0	0	0	0.725	0.625	0.5	0.75	0.55	0.575	0.625	0.65	0	0	0.65	0	0	0	0	0	0	0	0.6	0	0.6	0.675	0	0	0	0.575	0.5	0	0	0	0	0	0.525	0	0.625	0.6	0	0
OV_8_TNFSF10	0.316	0	0.395	0	0.289	0.763	0.737	0	0.711	0	0.289	0	0.658	0	0	0	0	0	0	0.474	0	0	0	0	0.395	0.711	0.737	0	0	0.342	0.658	0.526	0	0.342	0	0	0	0.5	0	0.658	0	0	0.421
OV_9_PAK2	0	0	0	0.471	0	0.735	0.735	0	0.647	0	0	0	0.647	0	0	0	0	0.471	0	0.588	0.412	0.5	0	0	0.412	0.706	0.676	0	0	0	0.618	0.588	0.412	0.441	0	0	0	0.588	0	0.676	0	0	0.5
OV_10_RB1	0	0	0	0	0	0.969	0.938	0	0.875	0	0	0	0.969	0.719	0	0	0.719	0	0.688	0.75	0.906	0	0	0	0	0.875	1.0	0.719	0.719	0	0.906	0.813	0	0.75	0	0	0	0.844	0	0	0	0.719	0.75
