GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
TTN	0.296	0.296	0.000	0.000	-	-	167.262458867898	0.298	0.298	0.000	0.000
TP53	0.227	0.227	0.000	0.000	CC	PC	160.724339980311	0.227	0.227	0.000	0.000
PIK3CA	0.092	0.092	0.000	0.000	CC	PC	65.3016599688758	0.092	0.092	0.000	0.000
CDKN2A	0.079	0.018	0.061	0.000	CC	PC	58.6616548440517	0.095	0.018	0.077	0.000
EP300	0.066	0.066	0.000	0.000	CC	PC	53.6780497301587	0.066	0.066	0.000	0.000
RYR2	0.079	0.079	0.000	0.000	-	-	47.2710903908093	0.079	0.079	0.000	0.000
ARID1A	0.074	0.074	0.000	0.000	CC	PC	38.702636135183	0.103	0.103	0.000	0.000
FGFR1	0.026	0.008	0.005	0.013	CC	-	35.3895698283483	0.026	0.008	0.005	0.013
FGFR3	0.045	0.040	0.003	0.003	CC	PC	34.7351704935998	0.050	0.045	0.003	0.003
ZFHX4	0.050	0.045	0.000	0.005	-	-	33.6023083027618	0.069	0.061	0.000	0.008
CDKN2B	0.053	0.005	0.047	0.000	-	-	33.171687305342	0.079	0.005	0.074	0.000
DMD	0.047	0.026	0.008	0.013	-	PC	32.6736153033748	0.047	0.026	0.008	0.013
PRKY	0.042	0.000	0.042	0.000	-	-	31.6891856551711	0.055	0.000	0.055	0.000
ERBB3	0.040	0.040	0.000	0.000	-	-	31.532092989011	0.042	0.042	0.000	0.000
RB1	0.037	0.032	0.008	0.000	CC	PC	31.3273070021549	0.045	0.040	0.008	0.000
RXRA	0.032	0.032	0.000	0.000	-	PC	31.2205697253332	0.032	0.032	0.000	0.000
LAMA3	0.042	0.042	0.000	0.000	-	-	30.3585726994134	0.042	0.042	0.000	0.000
CREBBP	0.053	0.053	0.000	0.000	CC	-	28.1267823118867	0.055	0.055	0.000	0.000
YWHAZ	0.029	0.003	0.000	0.026	-	-	26.5423655969861	0.045	0.008	0.000	0.037
PTEN	0.045	0.042	0.003	0.000	CC	PC	25.4529383574126	0.047	0.045	0.003	0.000
CCND1	0.024	0.005	0.000	0.021	CC	PC	25.4257021282812	0.032	0.005	0.000	0.029
PTK2B	0.021	0.008	0.016	0.000	-	-	24.610296047774	0.024	0.008	0.018	0.000
CTNNB1	0.034	0.034	0.000	0.000	CC	PC	24.1318302515051	0.034	0.034	0.000	0.000
NCOR1	0.047	0.040	0.008	0.000	-	PC	23.5408542055653	0.050	0.042	0.008	0.000
GRIN2A	0.032	0.029	0.000	0.003	-	-	22.1177425768111	0.040	0.037	0.000	0.003
