GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
APC	0.742	0.742	0.000	0.000	CC	PC	285.143198177265	0.742	0.742	0.000	0.000
TP53	0.545	0.545	0.000	0.000	CC	PC	234.788094166298	0.545	0.545	0.000	0.000
KRAS	0.429	0.429	0.000	0.000	CC	PC	167.378955765673	0.429	0.429	0.000	0.000
PIK3CA	0.283	0.283	0.000	0.000	CC	PC	116.379960408696	0.283	0.283	0.000	0.000
NEFH	0.338	0.338	0.000	0.000	-	-	113.901835820079	0.359	0.359	0.000	0.000
RYR2	0.222	0.222	0.000	0.000	-	-	80.5888267072218	0.222	0.222	0.000	0.000
LAMA5	0.157	0.157	0.000	0.000	-	-	76.8799008317465	0.157	0.157	0.000	0.000
CD24	0.177	0.000	0.177	0.000	-	-	76.5341481568454	0.409	0.005	0.409	0.000
AR	0.126	0.126	0.000	0.000	-	PC	68.2128177600251	0.126	0.126	0.000	0.000
TTN	0.313	0.313	0.000	0.000	-	-	68.2065959468614	0.510	0.510	0.000	0.000
GLI3	0.121	0.121	0.000	0.000	-	-	66.0364161978108	0.121	0.121	0.000	0.000
NCOR2	0.126	0.126	0.000	0.000	-	PC	65.9372335631754	0.126	0.126	0.000	0.000
TBP	0.172	0.172	0.000	0.000	-	-	65.7943369410204	0.172	0.172	0.000	0.000
ATM	0.116	0.116	0.000	0.000	CC	PC	62.9407195566439	0.136	0.136	0.000	0.000
LRP2	0.091	0.091	0.000	0.000	-	-	54.1667867350503	0.131	0.131	0.000	0.000
CACNA1B	0.126	0.126	0.000	0.000	-	-	48.7250187677144	0.197	0.197	0.000	0.000
SMAD4	0.126	0.126	0.000	0.000	-	PC	46.9879834350646	0.126	0.126	0.000	0.000
CTNNB1	0.081	0.081	0.000	0.000	CC	PC	43.9978122115845	0.081	0.081	0.000	0.000
RELN	0.081	0.081	0.000	0.000	-	-	41.0780085567897	0.106	0.106	0.000	0.000
RBMY1A1	0.242	0.000	0.242	0.000	-	-	40.9840935515263	0.414	0.000	0.414	0.000
VCAN	0.076	0.076	0.000	0.000	-	-	40.5279775255196	0.086	0.086	0.000	0.000
COL6A3	0.091	0.091	0.000	0.000	-	-	40.2431099888873	0.106	0.106	0.000	0.000
IRF5	0.136	0.136	0.000	0.000	-	-	39.1513219271881	0.242	0.242	0.000	0.000
HSPG2	0.071	0.071	0.000	0.000	-	-	37.1506979066234	0.081	0.081	0.000	0.000
DMD	0.081	0.081	0.000	0.000	-	PC	37.0991249095697	0.081	0.081	0.000	0.000
FN1	0.086	0.086	0.000	0.000	-	PC	36.6580650572395	0.091	0.091	0.000	0.000
ARID1A	0.066	0.066	0.000	0.000	CC	PC	36.0498307749127	0.136	0.136	0.000	0.000
ANK3	0.081	0.081	0.000	0.000	-	-	33.803765855115	0.116	0.116	0.000	0.000
CACNA1H	0.081	0.081	0.000	0.000	-	-	33.7965543194702	0.141	0.141	0.000	0.000
LAMA1	0.051	0.051	0.000	0.000	-	-	33.4976918758489	0.111	0.111	0.000	0.000
COL14A1	0.056	0.056	0.000	0.000	-	-	33.4059947233156	0.066	0.066	0.000	0.000
MYH9	0.056	0.056	0.000	0.000	CC	PC	33.0884034327612	0.076	0.076	0.000	0.000
TCF7L2	0.076	0.076	0.000	0.000	CC	PC	33.0302153192266	0.101	0.101	0.000	0.000
LAMC3	0.061	0.061	0.000	0.000	-	-	32.2027656343028	0.091	0.091	0.000	0.000
ROBO1	0.066	0.066	0.000	0.000	-	-	31.5684318611567	0.086	0.086	0.000	0.000
CELSR1	0.086	0.086	0.000	0.000	-	-	29.4969004490982	0.096	0.096	0.000	0.000
HTT	0.071	0.071	0.000	0.000	-	-	29.1409504678606	0.076	0.076	0.000	0.000
CREBBP	0.061	0.061	0.000	0.000	CC	-	28.7559936017349	0.061	0.061	0.000	0.000
TLN1	0.051	0.051	0.000	0.000	-	-	28.2928757216419	0.066	0.066	0.000	0.000
