TCGA-62-A472-01A.11	PTPRF;TP53;CACNA1I;MAP1A;	CAV1_DOWN;MMRN1_DOWN;PLAU_UP;PTPRM_DOWN;BDNF_DOWN;ERBB4_DOWN;SPTB_UP;AQP1_DOWN;ATF3_DOWN;CABLES1_DOWN;CDC14A_DOWN;DHCR24_DOWN;DUSP1_DOWN;GADD45B_DOWN;KLF4_DOWN;KLF6_DOWN;MAPK10_DOWN;MKI67_UP;MNDA_DOWN;NFATC4_UP;P2RX1_DOWN;PEG3_DOWN;PLAGL1_DOWN;PMAIP1_UP;RRM2_UP;S100A4_DOWN;S100A8_DOWN;SESN1_DOWN;SORT1_DOWN;TBX2_DOWN;TBXAS1_DOWN;TFRC_DOWN;TOP2A_UP;AQP4_DOWN;RYR2_DOWN;MCM4_UP;APH1B_DOWN;NOTCH4_DOWN;TBX3_DOWN;TBX4_DOWN;TBX5_DOWN;AQP5_DOWN;DMD_DOWN;RASGRF1_DOWN;RASGRP2_DOWN;RASGRP4_DOWN;LPL_DOWN;C8B_DOWN;C7_DOWN;CFP_DOWN;	NID1_DOWN;PTPRA_DOWN;PTPRD_DOWN;SHC2_DOWN;FBLN1_DOWN;CNN1_DOWN;CTGF_DOWN;ELN_DOWN;FMOD_DOWN;GAS1_DOWN;PTGIS_DOWN;PTRF_DOWN;TAGLN_DOWN;TIMP3_DOWN;LMOD1_DOWN;MYL9_DOWN;TGFB1I1_DOWN;CRIM1_DOWN;CYR61_DOWN;SPON1_DOWN;TGFBR3_DOWN;DCN_DOWN;EFEMP2_DOWN;PALLD_DOWN;MYH10_DOWN;ENG_DOWN;PLSCR4_DOWN;TP53_DOWN;MAP1B_DOWN;GPM6B_DOWN;VLDLR_DOWN;CD36_DOWN;LDLR_DOWN;LRPAP1_DOWN;CD9_DOWN;HSD11B1_DOWN;LDLRAP1_DOWN;CD59_DOWN;CD81_DOWN;CD82_DOWN;HBEGF_DOWN;TSPAN4_DOWN;	4_50_42	544.513320570671	282.603757900367
TCGA-62-A472-01A.3	BRAF;	MRAS_DOWN;	-;	1_1_0	62.6330443071934	2.38708199284585
TCGA-62-A472-01A.7	GRID2;	GRIA1_DOWN;	-;	1_1_0	5.6373266124951	5.6373266124951
TCGA-62-A472-01A.9	PRKG2;	PRKG2_DOWN;NPR1_DOWN;TRPC6_DOWN;	NPR2_DOWN;NPR3_DOWN;	1_3_2	32.1697266152219	15.3280806831859
TCGA-62-A472-01A.2	ITK;	PIK3R5_DOWN;	-;	1_1_0	21.0530636234501	2.08568918229948
TCGA-62-A472-01A.8	PCDH11Y;PCDH10;	CDH13_DOWN;CDH23_DOWN;CDH26_DOWN;CDH5_DOWN;DCHS1_DOWN;PCDH12_DOWN;PCDH17_DOWN;PCDH9_DOWN;PCDHA12_DOWN;PCDHAC2_DOWN;PCDHGA12_DOWN;PCDHGB6_DOWN;PCDHGB7_DOWN;PCDHGC3_DOWN;SVEP1_DOWN;	-;	2_15_0	52.5560311044751	49.5846402341386
TCGA-62-A472-01A.1	CD24;	SELP_DOWN;	-;	1_1_0	14.8114951644094	4.54528730818363
TCGA-44-2659-01A.35	EPHA8;	EFNA5_UP;	-;	1_1_0	1.83036165745203	1.83036165745203
TCGA-44-2659-01A.33	DSC3;	PKP3_UP;DSG2_UP;	-;	1_2_0	6.6725604856065	3.75194693125451
TCGA-44-2659-01A.11	HNRNPA2B1;	CBX3_UP;	HNRNPA2B1_UP;	1_1_1	16.6354794227821	4.26251946686074
TCGA-44-2659-01A.26	GLI1;GLI3;	HHIP_DOWN;	GLI3_UP;	2_1_1	27.2461115466567	6.44497059270214
TCGA-44-2659-01A.48	MYH6;MYH8;MYBPC1;	DES_DOWN;	-;	3_1_0	8.99015187453436	3.88570620337426
TCGA-44-2659-01A.42	SPTA1;	SPTB_UP;	-;	1_1_0	6.97345947262532	5.07034725210099
TCGA-44-2659-01A.29	UBE2N;	UBE2A_UP;	-;	1_1_0	7.93652651868592	2.22998772339179
