GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
TP53	0.949	0.946	0.003	0.006	CC	PC	206.6080916331	0.949	0.946	0.003	0.006
MYC	0.307	0.000	0.000	0.307	CC	-	66.6167744687786	0.307	0.000	0.000	0.307
PTK2	0.228	0.003	0.003	0.225	-	-	48.5029718826417	0.247	0.003	0.003	0.244
PIK3CA	0.177	0.006	0.000	0.171	CC	PC	43.3145325078347	0.177	0.006	0.000	0.171
PRKCI	0.196	0.006	0.000	0.190	-	-	39.1190392626192	0.199	0.006	0.000	0.193
CCNE1	0.149	0.000	0.000	0.149	CC	-	35.6469675909105	0.203	0.000	0.000	0.203
COL14A1	0.127	0.009	0.006	0.111	-	-	33.2890466046748	0.247	0.013	0.006	0.228
TNFSF10	0.120	0.003	0.000	0.120	-	-	26.7869931427842	0.196	0.003	0.000	0.196
PAK2	0.108	0.003	0.000	0.108	-	-	26.6554268234732	0.142	0.003	0.003	0.139
RB1	0.101	0.019	0.079	0.003	CC	PC	25.9874028026688	0.101	0.019	0.079	0.003
KRAS	0.101	0.003	0.000	0.098	CC	PC	23.0447674954193	0.114	0.006	0.000	0.108
YWHAZ	0.089	0.000	0.000	0.089	-	-	22.7836274628752	0.098	0.000	0.000	0.098
MAFA	0.104	0.000	0.003	0.101	-	-	22.5717757825825	0.253	0.000	0.003	0.250
PRKACA	0.085	0.000	0.000	0.085	-	-	22.3105414580954	0.117	0.000	0.000	0.117
NOTCH3	0.085	0.009	0.000	0.079	-	-	20.8780456433829	0.120	0.009	0.000	0.114
USF2	0.079	0.000	0.000	0.079	-	-	19.634756443885	0.085	0.000	0.000	0.085
ANGPT1	0.073	0.006	0.003	0.063	-	-	19.4263701344338	0.114	0.009	0.003	0.101
TNFRSF11B	0.095	0.000	0.006	0.089	-	-	17.8870653005158	0.203	0.000	0.006	0.196
CEBPA	0.076	0.000	0.000	0.076	CC	PC	17.7556594223102	0.076	0.000	0.000	0.076
LAMA5	0.060	0.000	0.000	0.060	-	-	17.6131484615246	0.089	0.000	0.000	0.089
NCOA3	0.076	0.013	0.000	0.066	-	PC	17.5650793712132	0.079	0.013	0.000	0.070
DVL3	0.066	0.000	0.000	0.066	-	-	17.06983660221	0.158	0.003	0.000	0.155
