GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
TP53	0.087	0.087	0.000	0.000	CC	PC	24.841776441937	0.087	0.087	0.000	0.000
TTN	0.151	0.151	0.000	0.000	-	-	23.0183854246478	0.151	0.151	0.000	0.000
CTNNB1	0.036	0.036	0.000	0.000	CC	PC	19.2078404957968	0.036	0.036	0.000	0.000
PIK3CA	0.036	0.036	0.000	0.000	CC	PC	16.5841867043699	0.036	0.036	0.000	0.000
NCOA2	0.012	0.000	0.000	0.012	CC	-	11.8715733901772	0.012	0.000	0.000	0.012
COL11A1	0.028	0.028	0.000	0.000	-	-	11.2848639007088	0.028	0.028	0.000	0.000
FGFR1	0.012	0.000	0.004	0.008	CC	-	11.2191959944624	0.012	0.000	0.004	0.008
DMD	0.036	0.012	0.012	0.012	-	PC	10.1643934829579	0.036	0.012	0.012	0.012
COL22A1	0.020	0.016	0.000	0.004	-	-	9.69285152654724	0.020	0.016	0.000	0.004
PTEN	0.040	0.036	0.004	0.000	CC	PC	9.05538278609325	0.052	0.048	0.004	0.000
PRKDC	0.032	0.024	0.000	0.008	-	-	8.28917328737964	0.036	0.028	0.000	0.008
CDH1	0.012	0.012	0.000	0.000	CC	PC	7.94834931255014	0.012	0.012	0.000	0.000
LAMA4	0.024	0.020	0.004	0.000	-	-	7.40865741438947	0.024	0.020	0.004	0.000
FGFR2	0.008	0.008	0.000	0.000	CC	PC	7.34061975202681	0.008	0.008	0.000	0.000
TLN1	0.008	0.004	0.000	0.004	-	-	7.29514663909429	0.008	0.004	0.000	0.004
FANCG	0.008	0.004	0.000	0.004	CC	-	6.38157902525373	0.008	0.004	0.000	0.004
PRKG1	0.004	0.004	0.000	0.000	-	-	6.36713081172913	0.004	0.004	0.000	0.000
EP300	0.016	0.016	0.000	0.000	CC	PC	6.27232290978469	0.016	0.016	0.000	0.000
HSPG2	0.016	0.016	0.000	0.000	-	-	6.20783624395368	0.028	0.028	0.000	0.000
LRP5	0.008	0.004	0.000	0.004	-	-	6.11765408159869	0.012	0.008	0.000	0.004
CACNA1S	0.008	0.008	0.000	0.000	-	-	6.06344276032392	0.008	0.008	0.000	0.000
PENK	0.008	0.000	0.000	0.008	-	-	5.99555898332866	0.008	0.000	0.000	0.008
CTTN	0.008	0.004	0.000	0.004	-	PC	5.88660535010051	0.008	0.004	0.000	0.004
RAB2A	0.004	0.000	0.000	0.004	-	-	5.87601440684853	0.012	0.000	0.000	0.012
COL14A1	0.004	0.000	0.000	0.004	-	-	5.87601440684853	0.012	0.004	0.000	0.008
CCND1	0.004	0.000	0.000	0.004	CC	PC	5.87601440684853	0.004	0.000	0.000	0.004
ASH2L	0.004	0.000	0.000	0.004	-	-	5.87601440684853	0.016	0.000	0.008	0.008
ATM	0.044	0.044	0.000	0.000	CC	PC	5.5278123502732	0.048	0.048	0.000	0.000
STAT3	0.020	0.020	0.000	0.000	-	PC	5.37338299619207	0.024	0.024	0.000	0.000
NOTCH3	0.012	0.012	0.000	0.000	-	-	5.33217281684886	0.012	0.012	0.000	0.000
RNF13	0.008	0.008	0.000	0.000	-	-	5.1388004750243	0.008	0.008	0.000	0.000
PTK2B	0.008	0.000	0.008	0.000	-	-	4.94174735256338	0.008	0.000	0.008	0.000
MED13	0.012	0.012	0.000	0.000	-	PC	4.79942244979918	0.012	0.012	0.000	0.000
RIPK2	0.024	0.008	0.000	0.016	-	-	4.73081455200796	0.024	0.008	0.000	0.016
RPS27A	0.008	0.008	0.000	0.000	-	-	4.60492016538483	0.008	0.008	0.000	0.000
NTRK1	0.008	0.008	0.000	0.000	CC	-	4.59565398412824	0.012	0.012	0.000	0.000
ITGAV	0.008	0.008	0.000	0.000	-	-	4.53158171676494	0.008	0.008	0.000	0.000
GLI1	0.012	0.012	0.000	0.000	-	-	4.32316544176752	0.012	0.012	0.000	0.000
TJP2	0.012	0.012	0.000	0.000	-	PC	4.25577968731534	0.012	0.012	0.000	0.000
RYR2	0.040	0.040	0.000	0.000	-	-	4.169149457142	0.040	0.040	0.000	0.000
SMAD9	0.008	0.004	0.004	0.000	-	-	3.95673274104717	0.008	0.004	0.004	0.000
RB1	0.008	0.008	0.000	0.000	CC	PC	3.76489332403686	0.008	0.008	0.000	0.000
LAMA2	0.012	0.012	0.000	0.000	-	-	3.69517361148246	0.012	0.012	0.000	0.000
ADAM9	0.012	0.008	0.000	0.004	-	-	3.67149567608072	0.024	0.008	0.004	0.012
NTN1	0.004	0.004	0.000	0.000	-	-	3.57661360062484	0.004	0.004	0.000	0.000
MAP3K5	0.004	0.004	0.000	0.000	-	-	3.57661360062484	0.004	0.004	0.000	0.000
GLI2	0.012	0.008	0.004	0.000	-	-	3.56209883413957	0.012	0.008	0.004	0.000
ITPR2	0.012	0.012	0.000	0.000	-	-	3.54785338695483	0.012	0.012	0.000	0.000
SP100	0.004	0.004	0.000	0.000	-	-	3.50296140444647	0.008	0.008	0.000	0.000
MPP1	0.004	0.004	0.000	0.000	-	-	3.50296140444647	0.004	0.004	0.000	0.000
MYC	0.012	0.008	0.000	0.004	CC	-	3.40849063926306	0.012	0.008	0.000	0.004
LRP1B	0.012	0.012	0.000	0.000	-	-	3.40667772506951	0.028	0.028	0.000	0.000
