ABL1	2	0_HALLMARK_INTERFERON_GAMMA_RESPONSE	1.000	0_HALLMARK_ALLOGRAFT_REJECTION	1.000	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	1.000	1_KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1.000	1_KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.000	1_KEGG_TYPE_I_DIABETES_MELLITUS	1.000	1_KEGG_LEISHMANIA_INFECTION	1.000	1_KEGG_ASTHMA	1.000	1_KEGG_AUTOIMMUNE_THYROID_DISEASE	1.000	1_KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1.000	
ACAN	4	0_HALLMARK_G2M_CHECKPOINT	0.750	0_HALLMARK_E2F_TARGETS	0.750	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.750	1_KEGG_CELL_CYCLE	0.750	1_KEGG_P53_SIGNALING_PATHWAY	0.750	2_CELL_CYCLE_GO_0007049	0.750	1_KEGG_FOCAL_ADHESION	0.500	1_KEGG_MELANOMA	0.500	2_NON_MEMBRANE_BOUND_ORGANELLE	0.500	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	0.500	
ACTB	4	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_CELL_CYCLE	1.000	2_CELL_CYCLE_GO_0007049	1.000	0_HALLMARK_MYC_TARGETS_V1	0.750	1_KEGG_ECM_RECEPTOR_INTERACTION	0.750	2_CELL_CYCLE_PROCESS	0.750	2_DNA_REPLICATION	0.750	0_HALLMARK_INTERFERON_GAMMA_RESPONSE	0.500	
ACTN1	2	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_E2F_TARGETS	1.000	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.000	0_HALLMARK_ANGIOGENESIS	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_FOCAL_ADHESION	1.000	1_KEGG_ECM_RECEPTOR_INTERACTION	1.000	2_CELL_CYCLE_GO_0007049	1.000	1_KEGG_P53_SIGNALING_PATHWAY	0.500	
ACVRL1	1	
ADAM12	7	0_HALLMARK_E2F_TARGETS	0.857	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.857	1_KEGG_CELL_CYCLE	0.857	1_KEGG_P53_SIGNALING_PATHWAY	0.857	1_KEGG_FOCAL_ADHESION	0.857	1_KEGG_PATHWAYS_IN_CANCER	0.714	2_NON_MEMBRANE_BOUND_ORGANELLE	0.714	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	0.714	2_CELL_CYCLE_GO_0007049	0.714	2_REGULATION_OF_CELL_CYCLE	0.714	
ADCY2	2	
ADCY5	2	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_APOPTOSIS	0.500	0_HALLMARK_COMPLEMENT	0.500	0_HALLMARK_E2F_TARGETS	0.500	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	0_HALLMARK_UV_RESPONSE_DN	0.500	0_HALLMARK_ANGIOGENESIS	0.500	1_KEGG_CELL_CYCLE	0.500	1_KEGG_FOCAL_ADHESION	0.500	1_KEGG_ECM_RECEPTOR_INTERACTION	0.500	
ADCY6	1	
ADCY8	1	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_E2F_TARGETS	1.000	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_P53_SIGNALING_PATHWAY	1.000	1_KEGG_FOCAL_ADHESION	1.000	1_KEGG_ECM_RECEPTOR_INTERACTION	1.000	1_KEGG_SMALL_CELL_LUNG_CANCER	1.000	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	1.000	
ADCY9	2	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_INTERFERON_GAMMA_RESPONSE	0.500	0_HALLMARK_COMPLEMENT	0.500	0_HALLMARK_E2F_TARGETS	0.500	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	0_HALLMARK_COAGULATION	0.500	1_KEGG_CALCIUM_SIGNALING_PATHWAY	0.500	1_KEGG_CELL_CYCLE	0.500	1_KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.500	1_KEGG_FOCAL_ADHESION	0.500	
ADCYAP1R1	2	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_CELL_CYCLE	1.000	2_AXON	1.000	2_MICROTUBULE_CYTOSKELETON	1.000	2_NEURON_PROJECTION	1.000	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	1.000	2_CELL_CYCLE_GO_0007049	1.000	2_REGULATION_OF_CELL_CYCLE	1.000	2_GABA_RECEPTOR_ACTIVITY	1.000	
AHR	2	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_E2F_TARGETS	0.500	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	0_HALLMARK_ANGIOGENESIS	0.500	1_KEGG_DNA_REPLICATION	0.500	1_KEGG_CELL_CYCLE	0.500	1_KEGG_P53_SIGNALING_PATHWAY	0.500	1_KEGG_FOCAL_ADHESION	0.500	1_KEGG_ECM_RECEPTOR_INTERACTION	0.500	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	0.500	
AKAP6	3	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.333	1_KEGG_FOCAL_ADHESION	0.333	1_KEGG_ECM_RECEPTOR_INTERACTION	0.333	2_CELL_CELL_SIGNALING	0.333	2_SYNAPTIC_TRANSMISSION	0.333	2_GENERATION_OF_A_SIGNAL_INVOLVED_IN_CELL_CELL_SIGNALING	0.333	2_TRANSMISSION_OF_NERVE_IMPULSE	0.333	2_GLUTAMATE_RECEPTOR_ACTIVITY	0.333	2_GABA_RECEPTOR_ACTIVITY	0.333	2_IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY	0.333	
AKAP9	8	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_E2F_TARGETS	0.500	1_KEGG_CELL_CYCLE	0.500	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.375	1_KEGG_FOCAL_ADHESION	0.375	1_KEGG_ECM_RECEPTOR_INTERACTION	0.375	2_CELL_CYCLE_GO_0007049	0.375	2_GABA_RECEPTOR_ACTIVITY	0.375	0_HALLMARK_APOPTOSIS	0.250	0_HALLMARK_INTERFERON_GAMMA_RESPONSE	0.250	
AKT1	4	1_KEGG_MELANOMA	0.750	2_CELL_CELL_SIGNALING	0.750	2_SYNAPTIC_TRANSMISSION	0.750	2_TRANSMISSION_OF_NERVE_IMPULSE	0.750	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	0_HALLMARK_UV_RESPONSE_DN	0.500	1_KEGG_FOCAL_ADHESION	0.500	1_KEGG_ECM_RECEPTOR_INTERACTION	0.500	2_COLLAGEN	0.500	2_GENERATION_OF_A_SIGNAL_INVOLVED_IN_CELL_CELL_SIGNALING	0.500	
AKT3	2	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.000	1_KEGG_FOCAL_ADHESION	1.000	1_KEGG_ECM_RECEPTOR_INTERACTION	1.000	2_CELL_CELL_SIGNALING	1.000	2_SYNAPTIC_TRANSMISSION	1.000	2_GABA_RECEPTOR_ACTIVITY	1.000	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_APICAL_JUNCTION	0.500	0_HALLMARK_E2F_TARGETS	0.500	1_KEGG_DNA_REPLICATION	0.500	
