ABCC8	11	1_KEGG_FOCAL_ADHESION	1.000	0_HALLMARK_MYOGENESIS	0.909	2_NERVOUS_SYSTEM_DEVELOPMENT	0.909	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.818	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.818	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.727	1_KEGG_AXON_GUIDANCE	0.727	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.727	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.727	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.636	2_CELL_PROJECTION	0.636	2_PLASMA_MEMBRANE	0.636	2_SYSTEM_DEVELOPMENT	0.636	2_METAL_ION_TRANSPORT	0.636	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.636	2_CATION_TRANSPORT	0.545	2_ION_TRANSPORT	0.545	2_SYSTEM_PROCESS	0.545	2_BASEMENT_MEMBRANE	0.455	2_AXONOGENESIS	0.455	
ABCC9	22	2_NERVOUS_SYSTEM_DEVELOPMENT	0.227	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.227	0_HALLMARK_MYOGENESIS	0.182	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.182	1_KEGG_AXON_GUIDANCE	0.182	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.182	2_SYSTEM_DEVELOPMENT	0.182	2_AXONOGENESIS	0.182	2_GENERATION_OF_NEURONS	0.182	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.182	1_KEGG_FOCAL_ADHESION	0.136	2_CELL_PROJECTION	0.136	2_PLASMA_MEMBRANE	0.136	2_EXTRACELLULAR_STRUCTURE_ORGANIZATION_AND_BIOGENESIS	0.136	2_NEURON_DIFFERENTIATION	0.136	2_NEURON_DEVELOPMENT	0.136	2_SYSTEM_PROCESS	0.136	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.136	0_HALLMARK_APICAL_JUNCTION	0.091	1_KEGG_ECM_RECEPTOR_INTERACTION	0.091	
ABL1	6	1_KEGG_FOCAL_ADHESION	0.833	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.833	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.833	0_HALLMARK_MYOGENESIS	0.667	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.667	1_KEGG_AXON_GUIDANCE	0.667	2_CELL_PROJECTION	0.667	2_ACTIN_CYTOSKELETON	0.667	2_NERVOUS_SYSTEM_DEVELOPMENT	0.667	2_METAL_ION_TRANSPORT	0.667	2_CATION_TRANSPORT	0.667	2_CATION_CHANNEL_ACTIVITY	0.667	2_GATED_CHANNEL_ACTIVITY	0.667	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.667	0_HALLMARK_UV_RESPONSE_DN	0.500	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.500	1_KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.500	2_CYTOSKELETON	0.500	2_ION_TRANSPORT	0.500	2_VOLTAGE_GATED_CHANNEL_ACTIVITY	0.500	
ACACB	10	1_KEGG_FOCAL_ADHESION	0.900	2_NERVOUS_SYSTEM_DEVELOPMENT	0.900	0_HALLMARK_MYOGENESIS	0.800	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.800	2_SYSTEM_DEVELOPMENT	0.800	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.800	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.700	2_PLASMA_MEMBRANE	0.700	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.700	2_NEURON_DIFFERENTIATION	0.700	2_CATION_CHANNEL_ACTIVITY	0.700	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.700	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.700	1_KEGG_AXON_GUIDANCE	0.600	2_CELL_PROJECTION	0.600	2_AXONOGENESIS	0.600	2_GENERATION_OF_NEURONS	0.600	2_GATED_CHANNEL_ACTIVITY	0.600	1_KEGG_ECM_RECEPTOR_INTERACTION	0.500	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.500	
ACAN	15	0_HALLMARK_MYOGENESIS	0.867	2_NERVOUS_SYSTEM_DEVELOPMENT	0.867	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.867	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.867	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.800	2_SYSTEM_DEVELOPMENT	0.800	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.733	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.733	1_KEGG_AXON_GUIDANCE	0.667	1_KEGG_FOCAL_ADHESION	0.667	1_KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.667	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.667	2_CATION_CHANNEL_ACTIVITY	0.600	2_VOLTAGE_GATED_CHANNEL_ACTIVITY	0.600	2_GATED_CHANNEL_ACTIVITY	0.600	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.600	2_ION_CHANNEL_ACTIVITY	0.600	2_CELL_PROJECTION	0.533	2_PLASMA_MEMBRANE	0.533	2_METAL_ION_TRANSPORT	0.533	
ACTA2	10	0_HALLMARK_MYOGENESIS	0.900	2_NERVOUS_SYSTEM_DEVELOPMENT	0.900	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.900	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.800	2_SYSTEM_DEVELOPMENT	0.800	1_KEGG_AXON_GUIDANCE	0.700	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.700	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.700	2_PLASMA_MEMBRANE_PART	0.700	2_PLASMA_MEMBRANE	0.700	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.700	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.700	2_CATION_CHANNEL_ACTIVITY	0.700	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.700	0_HALLMARK_APICAL_JUNCTION	0.600	1_KEGG_FOCAL_ADHESION	0.600	2_MEMBRANE	0.600	2_CELL_PROJECTION	0.600	2_METAL_ION_TRANSPORT	0.600	2_CATION_TRANSPORT	0.600	
ACTB	13	2_NERVOUS_SYSTEM_DEVELOPMENT	1.000	0_HALLMARK_MYOGENESIS	0.923	1_KEGG_FOCAL_ADHESION	0.846	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.846	2_SYSTEM_DEVELOPMENT	0.846	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.846	1_KEGG_AXON_GUIDANCE	0.769	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.769	2_CELL_PROJECTION	0.692	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.615	2_NEURON_DIFFERENTIATION	0.615	2_SYNAPTOGENESIS	0.538	2_EXTRACELLULAR_STRUCTURE_ORGANIZATION_AND_BIOGENESIS	0.538	2_SYNAPSE_ORGANIZATION_AND_BIOGENESIS	0.538	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.538	2_PLASMA_MEMBRANE	0.462	2_CATION_CHANNEL_ACTIVITY	0.462	2_VOLTAGE_GATED_CHANNEL_ACTIVITY	0.462	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.462	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.385	
ACTL6A	14	0_HALLMARK_MYOGENESIS	0.786	2_NERVOUS_SYSTEM_DEVELOPMENT	0.786	1_KEGG_AXON_GUIDANCE	0.643	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.643	1_KEGG_FOCAL_ADHESION	0.571	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.571	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	2_SYSTEM_DEVELOPMENT	0.500	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.500	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.429	2_PLASMA_MEMBRANE	0.429	2_NEURON_DIFFERENTIATION	0.429	0_HALLMARK_UV_RESPONSE_DN	0.357	2_CELL_PROJECTION	0.357	2_SYNAPSE_ORGANIZATION_AND_BIOGENESIS	0.357	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.357	0_HALLMARK_APICAL_JUNCTION	0.286	2_SYNAPTOGENESIS	0.286	2_GENERATION_OF_NEURONS	0.286	2_EXTRACELLULAR_STRUCTURE_ORGANIZATION_AND_BIOGENESIS	0.286	
ACTL6B	8	1_KEGG_FOCAL_ADHESION	0.875	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.875	0_HALLMARK_MYOGENESIS	0.625	1_KEGG_AXON_GUIDANCE	0.625	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.625	2_CELL_PROJECTION	0.625	2_NERVOUS_SYSTEM_DEVELOPMENT	0.625	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.625	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	0.625	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	1_KEGG_ADHERENS_JUNCTION	0.500	2_SYSTEM_DEVELOPMENT	0.500	2_AXONOGENESIS	0.500	2_NEURON_DIFFERENTIATION	0.500	2_BASEMENT_MEMBRANE	0.375	2_GENERATION_OF_NEURONS	0.375	2_CATION_CHANNEL_ACTIVITY	0.375	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.375	0_HALLMARK_APICAL_JUNCTION	0.250	1_KEGG_P53_SIGNALING_PATHWAY	0.250	
ACTN1	7	0_HALLMARK_MYOGENESIS	1.000	1_KEGG_AXON_GUIDANCE	0.857	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.857	2_NERVOUS_SYSTEM_DEVELOPMENT	0.857	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.714	1_KEGG_FOCAL_ADHESION	0.714	2_CELL_PROJECTION	0.714	2_SYNAPTOGENESIS	0.714	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.714	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.571	1_KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.571	2_SYSTEM_DEVELOPMENT	0.571	2_SYNAPSE_ORGANIZATION_AND_BIOGENESIS	0.571	2_CATION_TRANSPORT	0.571	2_NEURON_DIFFERENTIATION	0.571	2_CATION_CHANNEL_ACTIVITY	0.571	2_VOLTAGE_GATED_CHANNEL_ACTIVITY	0.571	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.571	2_PLASMA_MEMBRANE	0.429	2_NEURITE_DEVELOPMENT	0.429	
