GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
TTN	0.548	0.548	0.012	0.006	-	-	1070.234051854	0.548	0.548	0.012	0.006
TP53	0.482	0.470	0.024	0.000	CC	PC	1026.25063544127	0.482	0.470	0.024	0.000
PIK3CA	0.274	0.232	0.000	0.054	CC	PC	499.889268635946	0.274	0.232	0.000	0.054
DMD	0.202	0.125	0.101	0.000	-	PC	393.667023987113	0.202	0.125	0.101	0.000
GLI3	0.167	0.143	0.000	0.024	-	-	384.1209206903	0.167	0.143	0.000	0.024
CREBBP	0.119	0.107	0.012	0.000	CC	-	374.473019247412	0.119	0.107	0.012	0.000
LAMA1	0.143	0.143	0.000	0.000	-	-	342.663485284497	0.143	0.143	0.000	0.000
RYR2	0.190	0.167	0.006	0.018	-	-	336.61180082749	0.190	0.167	0.006	0.018
EGFR	0.131	0.060	0.006	0.065	CC	PC	332.902361257462	0.131	0.060	0.006	0.065
ACTN2	0.113	0.083	0.012	0.018	-	-	308.814902015599	0.113	0.083	0.012	0.018
PTK2	0.119	0.048	0.000	0.071	-	-	306.772133084254	0.119	0.048	0.000	0.071
ERBB4	0.149	0.137	0.018	0.000	-	-	293.04280357641	0.161	0.149	0.018	0.000
ERBB3	0.119	0.101	0.000	0.018	-	-	291.031431819877	0.119	0.101	0.000	0.018
KRAS	0.155	0.107	0.000	0.060	CC	PC	279.525099570736	0.161	0.113	0.000	0.060
SMAD4	0.143	0.095	0.065	0.000	-	PC	274.960696700714	0.143	0.095	0.065	0.000
MAP2K4	0.071	0.018	0.054	0.000	CC	PC	269.682083713557	0.071	0.018	0.054	0.000
COL12A1	0.113	0.113	0.000	0.000	-	-	267.503757814363	0.131	0.125	0.006	0.000
PCDH15	0.173	0.161	0.000	0.012	-	-	251.573844418121	0.173	0.161	0.000	0.012
COL14A1	0.125	0.054	0.006	0.077	-	-	241.463257513177	0.143	0.071	0.006	0.077
LRP1B	0.179	0.167	0.018	0.000	-	-	241.030013999817	0.286	0.262	0.030	0.000
RYR3	0.077	0.071	0.006	0.000	-	-	238.623381234752	0.155	0.143	0.012	0.000
NOTCH2	0.101	0.065	0.006	0.030	CC	-	232.379943805716	0.101	0.065	0.006	0.030
LAMA5	0.101	0.054	0.006	0.042	-	-	231.751435135709	0.131	0.083	0.006	0.042
NCOR1	0.125	0.089	0.024	0.012	-	PC	226.035656797044	0.137	0.095	0.030	0.012
MAP2K3	0.054	0.030	0.018	0.006	-	-	225.963994287741	0.071	0.036	0.030	0.006
NOS1	0.089	0.083	0.006	0.000	-	-	225.641838141364	0.089	0.083	0.006	0.000
FAT1	0.143	0.101	0.036	0.006	-	-	223.618868006949	0.161	0.119	0.036	0.006
PDE4D	0.101	0.000	0.095	0.006	-	-	217.100034656634	0.161	0.006	0.149	0.006
APC	0.125	0.089	0.036	0.000	CC	PC	216.893398478786	0.173	0.125	0.042	0.006
MYC	0.125	0.012	0.000	0.113	CC	-	212.983648929961	0.131	0.018	0.000	0.113
LRP2	0.107	0.101	0.006	0.000	-	-	209.15971464586	0.161	0.149	0.012	0.000
PLCG1	0.077	0.054	0.000	0.024	-	PC	204.505754549099	0.077	0.054	0.000	0.024
RYR1	0.113	0.101	0.000	0.012	-	-	199.00409618036	0.173	0.149	0.000	0.024
ITGAV	0.071	0.018	0.054	0.000	-	-	194.649224196756	0.071	0.018	0.054	0.000
EP300	0.065	0.065	0.000	0.000	CC	PC	188.566113017958	0.071	0.071	0.000	0.000
UTRN	0.113	0.083	0.012	0.024	-	-	182.085431534285	0.161	0.125	0.012	0.030
FGFR2	0.095	0.036	0.000	0.060	CC	PC	177.531386446338	0.101	0.036	0.000	0.065
ERBB2	0.113	0.042	0.000	0.071	CC	PC	174.440541245722	0.125	0.042	0.000	0.083
PIK3CG	0.071	0.036	0.000	0.036	-	PC	173.648952301468	0.125	0.083	0.000	0.042
NFATC2	0.095	0.048	0.000	0.048	-	-	163.443580336743	0.095	0.048	0.000	0.048
PDGFRA	0.036	0.030	0.006	0.006	CC	PC	158.18719523527	0.060	0.048	0.006	0.012
NOTCH1	0.065	0.042	0.000	0.024	CC	PC	157.304445565422	0.077	0.054	0.000	0.024
PGM5	0.060	0.042	0.012	0.006	-	-	157.282738581758	0.119	0.089	0.018	0.012
CDKN2A	0.137	0.024	0.119	0.000	CC	PC	156.461028803334	0.143	0.024	0.125	0.000
SPTA1	0.190	0.179	0.000	0.012	-	-	156.069325450123	0.196	0.185	0.000	0.012
GLIS3	0.095	0.024	0.042	0.030	-	-	156.041381375403	0.095	0.024	0.042	0.030
CTNNB1	0.083	0.060	0.006	0.018	CC	PC	155.963371094834	0.083	0.060	0.006	0.018
ACTB	0.077	0.030	0.000	0.048	-	-	155.828049565111	0.077	0.030	0.000	0.048
PTPN1	0.060	0.006	0.000	0.054	-	-	150.800799423484	0.077	0.012	0.000	0.065
PRKG1	0.060	0.030	0.030	0.000	-	-	147.606985364971	0.071	0.036	0.030	0.006
AKAP6	0.065	0.048	0.012	0.006	-	-	147.184941648823	0.095	0.077	0.012	0.006
GRIA1	0.065	0.060	0.000	0.006	-	-	146.840179649433	0.071	0.065	0.000	0.006
FBN1	0.083	0.077	0.006	0.000	-	-	146.501578172648	0.125	0.113	0.012	0.000
PRKG2	0.042	0.030	0.012	0.000	-	-	142.983800933844	0.060	0.042	0.012	0.006
GRM1	0.077	0.060	0.000	0.018	-	-	138.66872914704	0.101	0.071	0.000	0.030
FAS	0.048	0.006	0.036	0.006	-	-	137.716211216112	0.048	0.006	0.036	0.006
SIAH2	0.054	0.024	0.000	0.030	-	-	137.509679012417	0.065	0.036	0.000	0.030
SMAD2	0.048	0.024	0.024	0.000	-	PC	133.577425477871	0.060	0.030	0.030	0.000
COL1A2	0.077	0.048	0.000	0.030	-	-	132.279403540734	0.131	0.077	0.000	0.054
AR	0.071	0.060	0.006	0.006	-	PC	131.761188625264	0.071	0.060	0.006	0.006
PCDH11X	0.071	0.065	0.006	0.000	-	-	130.383917321421	0.101	0.089	0.006	0.006
EPHB1	0.048	0.036	0.006	0.006	-	-	130.073079497943	0.071	0.054	0.012	0.006
RHOA	0.089	0.065	0.024	0.000	-	PC	129.911363483615	0.089	0.065	0.024	0.000
LYN	0.048	0.012	0.000	0.036	-	PC	127.776532794434	0.060	0.024	0.006	0.036
CDH1	0.089	0.077	0.012	0.000	CC	PC	125.183423377937	0.089	0.077	0.012	0.000
RASA1	0.060	0.042	0.018	0.000	-	PC	124.700280053318	0.060	0.042	0.018	0.000
FGF10	0.054	0.006	0.000	0.048	-	-	124.688348300231	0.113	0.018	0.012	0.083
MET	0.065	0.018	0.000	0.048	CC	-	124.567581459953	0.065	0.018	0.000	0.048
RELN	0.077	0.071	0.006	0.006	-	-	123.142753849963	0.155	0.131	0.006	0.036
PCDH10	0.107	0.095	0.006	0.006	-	-	122.998084876206	0.149	0.131	0.006	0.012
NCOR2	0.060	0.042	0.012	0.006	-	PC	122.561139538219	0.083	0.060	0.012	0.012
ITGB4	0.054	0.048	0.000	0.006	-	-	121.014472695689	0.054	0.048	0.000	0.006
PDGFRB	0.036	0.030	0.000	0.006	CC	-	119.026380326657	0.042	0.036	0.000	0.006
LRP5	0.071	0.024	0.000	0.048	-	-	117.311776543599	0.107	0.054	0.006	0.048
IRS1	0.030	0.030	0.000	0.000	-	-	115.63962932225	0.065	0.065	0.000	0.000
FLNB	0.060	0.048	0.006	0.006	-	-	114.436621523837	0.060	0.048	0.006	0.006
DRP2	0.012	0.012	0.000	0.000	-	-	114.415935136979	0.042	0.042	0.000	0.000
SMARCA2	0.071	0.024	0.024	0.024	-	-	113.028576784778	0.119	0.060	0.036	0.024
CCNE1	0.071	0.000	0.000	0.071	CC	-	111.52099569043	0.107	0.006	0.018	0.083
GRB2	0.030	0.024	0.000	0.006	-	-	110.30829523944	0.030	0.024	0.000	0.006
LAMA2	0.054	0.042	0.000	0.012	-	-	108.979194322048	0.077	0.060	0.006	0.012
GATA3	0.036	0.018	0.006	0.012	CC	PC	107.538345422226	0.054	0.030	0.006	0.018
PRKD1	0.065	0.054	0.006	0.012	-	-	107.193895669173	0.077	0.065	0.006	0.012
NEB	0.060	0.054	0.006	0.000	-	PC	107.032147495751	0.131	0.119	0.012	0.000
ACTL6A	0.048	0.006	0.000	0.042	-	-	106.968711646638	0.083	0.030	0.000	0.054
MAP2K7	0.071	0.054	0.018	0.000	-	-	106.956672944987	0.077	0.060	0.018	0.000
CDK5	0.030	0.006	0.012	0.012	-	-	104.340909880861	0.030	0.006	0.012	0.012
COL6A3	0.065	0.054	0.012	0.000	-	-	102.029471194087	0.137	0.119	0.018	0.000
ITPR1	0.065	0.030	0.036	0.006	-	-	101.709948288203	0.113	0.065	0.048	0.006
SMAD7	0.030	0.006	0.012	0.012	-	-	101.477020084926	0.060	0.006	0.030	0.024
DLG2	0.077	0.042	0.000	0.036	-	-	100.765579078946	0.113	0.071	0.006	0.036
DVL3	0.048	0.006	0.000	0.042	-	-	99.7464164407847	0.083	0.024	0.000	0.060
BLM	0.060	0.024	0.000	0.042	CC	PC	98.9035095931201	0.083	0.036	0.000	0.054
GLI2	0.048	0.042	0.000	0.006	-	-	98.7714792221569	0.054	0.048	0.000	0.006
CALML3	0.036	0.006	0.000	0.030	-	-	98.5234870568386	0.042	0.006	0.000	0.036
ATM	0.065	0.060	0.006	0.000	CC	PC	97.7095695579001	0.131	0.125	0.006	0.000
BLK	0.089	0.036	0.012	0.042	-	-	96.9936333016562	0.101	0.036	0.018	0.048
NOS3	0.030	0.012	0.012	0.006	-	-	95.0711335090508	0.048	0.024	0.012	0.012
GNGT1	0.054	0.006	0.000	0.048	-	-	94.8199066048849	0.077	0.012	0.000	0.065
ARHGAP5	0.060	0.042	0.012	0.006	-	-	94.6987200169732	0.071	0.054	0.012	0.006
LAMA3	0.065	0.036	0.006	0.024	-	-	94.6703876013109	0.101	0.065	0.012	0.024
DLG1	0.054	0.024	0.000	0.030	-	-	92.564516698454	0.107	0.048	0.006	0.054
SOS2	0.054	0.042	0.000	0.012	-	-	92.0705085909971	0.077	0.060	0.000	0.018
JAK2	0.060	0.012	0.030	0.024	CC	PC	90.1050937718088	0.089	0.030	0.036	0.030
ABCC8	0.054	0.042	0.006	0.006	-	-	89.9841007080539	0.065	0.054	0.006	0.006
SMAD3	0.024	0.012	0.006	0.006	-	-	89.4927602777618	0.024	0.012	0.006	0.006
TCAP	0.024	0.000	0.000	0.024	-	-	89.0925254884155	0.083	0.000	0.000	0.083
ARID1A	0.071	0.065	0.006	0.000	CC	PC	87.882028282253	0.202	0.185	0.024	0.000
TBL1X	0.048	0.018	0.024	0.006	-	-	87.3346365485105	0.060	0.024	0.030	0.006
LAMA4	0.024	0.024	0.000	0.000	-	-	85.6291688004499	0.048	0.042	0.006	0.000
