AATK	1	
ABCB1	6	1_KEGG_ABC_TRANSPORTERS	0.333	2_RESPONSE_TO_DRUG	0.333	
ABCE1	1	0_HALLMARK_DNA_REPAIR	1.000	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_E2F_TARGETS	1.000	0_HALLMARK_MYC_TARGETS_V1	1.000	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.000	1_KEGG_MISMATCH_REPAIR	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_P53_SIGNALING_PATHWAY	1.000	1_KEGG_APOPTOSIS	1.000	1_KEGG_FOCAL_ADHESION	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_PROSTATE_CANCER	1.000	2_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_NUCLEUS	1.000	2_REPLICATION_FORK	1.000	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_CHROMOSOMAL_PART	1.000	2_NUCLEOLUS	1.000	2_CHROMOSOME	1.000	2_DNA_METABOLIC_PROCESS	1.000	2_SYSTEM_DEVELOPMENT	1.000	2_BIOPOLYMER_METABOLIC_PROCESS	1.000	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	1.000	
ABL1	3	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_MISMATCH_REPAIR	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	2_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_CHROMOSOME	1.000	2_DNA_METABOLIC_PROCESS	1.000	2_DNA_REPAIR	1.000	2_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.000	2_RESPONSE_TO_STRESS	1.000	2_DNA_REPLICATION	1.000	2_DNA_DEPENDENT_DNA_REPLICATION	1.000	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.000	0_HALLMARK_DNA_REPAIR	0.667	0_HALLMARK_G2M_CHECKPOINT	0.667	0_HALLMARK_MYC_TARGETS_V1	0.667	1_KEGG_FOCAL_ADHESION	0.667	1_KEGG_ECM_RECEPTOR_INTERACTION	0.667	1_KEGG_COLORECTAL_CANCER	0.667	1_KEGG_PROSTATE_CANCER	0.667	2_NUCLEOPLASM	0.667	2_ORGANELLE_PART	0.667	2_NUCLEAR_PART	0.667	
ABL2	3	2_TRANSMEMBRANE_RECEPTOR_PROTEIN_PHOSPHATASE_ACTIVITY	0.667	0_HALLMARK_G2M_CHECKPOINT	0.333	0_HALLMARK_E2F_TARGETS	0.333	0_HALLMARK_UV_RESPONSE_DN	0.333	1_KEGG_ERBB_SIGNALING_PATHWAY	0.333	1_KEGG_CELL_CYCLE	0.333	1_KEGG_FOCAL_ADHESION	0.333	1_KEGG_ECM_RECEPTOR_INTERACTION	0.333	1_KEGG_JAK_STAT_SIGNALING_PATHWAY	0.333	1_KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.333	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.333	1_KEGG_PATHWAYS_IN_CANCER	0.333	1_KEGG_COLORECTAL_CANCER	0.333	1_KEGG_PANCREATIC_CANCER	0.333	1_KEGG_ENDOMETRIAL_CANCER	0.333	1_KEGG_GLIOMA	0.333	1_KEGG_PROSTATE_CANCER	0.333	1_KEGG_THYROID_CANCER	0.333	1_KEGG_MELANOMA	0.333	1_KEGG_CHRONIC_MYELOID_LEUKEMIA	0.333	1_KEGG_ACUTE_MYELOID_LEUKEMIA	0.333	1_KEGG_SMALL_CELL_LUNG_CANCER	0.333	2_SYSTEM_DEVELOPMENT	0.333	2_POSITIVE_REGULATION_OF_CELL_PROLIFERATION	0.333	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	0.333	
ACAN	7	2_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.714	0_HALLMARK_IL6_JAK_STAT3_SIGNALING	0.143	0_HALLMARK_G2M_CHECKPOINT	0.143	0_HALLMARK_E2F_TARGETS	0.143	0_HALLMARK_MYC_TARGETS_V1	0.143	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.143	1_KEGG_DNA_REPLICATION	0.143	1_KEGG_MISMATCH_REPAIR	0.143	1_KEGG_CELL_CYCLE	0.143	1_KEGG_JAK_STAT_SIGNALING_PATHWAY	0.143	1_KEGG_PATHWAYS_IN_CANCER	0.143	2_ORGANELLE_PART	0.143	2_NUCLEAR_PART	0.143	2_NON_MEMBRANE_BOUND_ORGANELLE	0.143	2_NUCLEUS	0.143	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	0.143	2_INTRACELLULAR_ORGANELLE_PART	0.143	2_CHROMOSOME	0.143	2_DNA_METABOLIC_PROCESS	0.143	2_DNA_REPAIR	0.143	2_SYSTEM_DEVELOPMENT	0.143	2_BIOPOLYMER_METABOLIC_PROCESS	0.143	2_SIGNAL_TRANSDUCTION	0.143	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	0.143	2_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.143	
ACLY	2	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_PROSTATE_CANCER	1.000	2_NUCLEUS	1.000	2_DNA_METABOLIC_PROCESS	1.000	2_BIOPOLYMER_METABOLIC_PROCESS	1.000	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	1.000	2_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.000	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.000	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_MYC_TARGETS_V1	0.500	1_KEGG_PURINE_METABOLISM	0.500	1_KEGG_PYRIMIDINE_METABOLISM	0.500	1_KEGG_DNA_REPLICATION	0.500	1_KEGG_APOPTOSIS	0.500	1_KEGG_TGF_BETA_SIGNALING_PATHWAY	0.500	1_KEGG_FOCAL_ADHESION	0.500	1_KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.500	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.500	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.500	1_KEGG_COLORECTAL_CANCER	0.500	1_KEGG_ENDOMETRIAL_CANCER	0.500	1_KEGG_GLIOMA	0.500	1_KEGG_ACUTE_MYELOID_LEUKEMIA	0.500	
ACTA1	3	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.667	1_KEGG_P53_SIGNALING_PATHWAY	0.667	1_KEGG_PATHWAYS_IN_CANCER	0.667	1_KEGG_COLORECTAL_CANCER	0.667	1_KEGG_ENDOMETRIAL_CANCER	0.667	1_KEGG_GLIOMA	0.667	1_KEGG_PROSTATE_CANCER	0.667	1_KEGG_NON_SMALL_CELL_LUNG_CANCER	0.667	0_HALLMARK_HYPOXIA	0.333	0_HALLMARK_G2M_CHECKPOINT	0.333	0_HALLMARK_APICAL_JUNCTION	0.333	0_HALLMARK_E2F_TARGETS	0.333	0_HALLMARK_P53_PATHWAY	0.333	0_HALLMARK_IL2_STAT5_SIGNALING	0.333	1_KEGG_PYRIMIDINE_METABOLISM	0.333	1_KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.333	1_KEGG_CELL_CYCLE	0.333	1_KEGG_APOPTOSIS	0.333	1_KEGG_WNT_SIGNALING_PATHWAY	0.333	1_KEGG_FOCAL_ADHESION	0.333	1_KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.333	1_KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.333	1_KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.333	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.333	1_KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.333	
ACTG1	2	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_FOCAL_ADHESION	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_COLORECTAL_CANCER	1.000	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	1_KEGG_DNA_REPLICATION	0.500	1_KEGG_MISMATCH_REPAIR	0.500	1_KEGG_MAPK_SIGNALING_PATHWAY	0.500	1_KEGG_P53_SIGNALING_PATHWAY	0.500	1_KEGG_APOPTOSIS	0.500	1_KEGG_ECM_RECEPTOR_INTERACTION	0.500	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	0.500	1_KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.500	1_KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.500	1_KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.500	1_KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.500	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.500	1_KEGG_PANCREATIC_CANCER	0.500	1_KEGG_ENDOMETRIAL_CANCER	0.500	1_KEGG_GLIOMA	0.500	1_KEGG_PROSTATE_CANCER	0.500	1_KEGG_MELANOMA	0.500	1_KEGG_CHRONIC_MYELOID_LEUKEMIA	0.500	1_KEGG_ACUTE_MYELOID_LEUKEMIA	0.500	
ACTR1B	1	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_ESTROGEN_RESPONSE_EARLY	1.000	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_P53_SIGNALING_PATHWAY	1.000	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_THYROID_CANCER	1.000	2_NUCLEOPLASM	1.000	2_ORGANELLE_PART	1.000	2_NUCLEAR_PART	1.000	2_ORGANELLE_LUMEN	1.000	2_NUCLEAR_LUMEN	1.000	2_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_NUCLEUS	1.000	2_MEMBRANE_ENCLOSED_LUMEN	1.000	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_INTRACELLULAR_ORGANELLE_PART	1.000	2_NUCLEOLUS	1.000	2_CHROMOSOME	1.000	2_RNA_METABOLIC_PROCESS	1.000	2_BIOPOLYMER_METABOLIC_PROCESS	1.000	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	1.000	2_TRANSCRIPTION_DNA_DEPENDENT	1.000	2_RNA_BIOSYNTHETIC_PROCESS	1.000	
ADAM12	1	
ADAM17	1	0_HALLMARK_DNA_REPAIR	1.000	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_APOPTOSIS	1.000	0_HALLMARK_E2F_TARGETS	1.000	0_HALLMARK_MYC_TARGETS_V1	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_BASE_EXCISION_REPAIR	1.000	1_KEGG_MISMATCH_REPAIR	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_APOPTOSIS	1.000	1_KEGG_AXON_GUIDANCE	1.000	1_KEGG_FOCAL_ADHESION	1.000	1_KEGG_ECM_RECEPTOR_INTERACTION	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_COLORECTAL_CANCER	1.000	1_KEGG_PROSTATE_CANCER	1.000	1_KEGG_SMALL_CELL_LUNG_CANCER	1.000	2_NUCLEOPLASM	1.000	2_ORGANELLE_PART	1.000	2_NUCLEAR_CHROMOSOME	1.000	2_NUCLEAR_PART	1.000	2_ORGANELLE_LUMEN	1.000	2_NUCLEAR_LUMEN	1.000	2_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_NUCLEUS	1.000	
