ACAP2	14	0_HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.071	1_KEGG_CELL_CYCLE	0.071	1_KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.071	1_KEGG_PATHWAYS_IN_CANCER	0.071	1_KEGG_MELANOMA	0.071	1_KEGG_BLADDER_CANCER	0.071	1_KEGG_SMALL_CELL_LUNG_CANCER	0.071	2_EXTRACELLULAR_REGION	0.071	2_EXTRACELLULAR_REGION_PART	0.071	2_EXTRACELLULAR_SPACE	0.071	2_REGULATION_OF_BIOLOGICAL_QUALITY	0.071	2_REGULATION_OF_KINASE_ACTIVITY	0.071	2_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	0.071	2_REGULATION_OF_TRANSFERASE_ACTIVITY	0.071	2_REGULATION_OF_GROWTH	0.071	2_NEGATIVE_REGULATION_OF_GROWTH	0.071	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.071	2_REGULATION_OF_CATALYTIC_ACTIVITY	0.071	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.071	2_CELL_PROLIFERATION_GO_0008283	0.071	2_POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS	0.071	2_CELL_CYCLE_GO_0007049	0.071	2_POSITIVE_REGULATION_OF_CELLULAR_PROCESS	0.071	2_REGULATION_OF_CELL_CYCLE	0.071	2_REGULATION_OF_CELL_PROLIFERATION	0.071	
AKAP3	6	
AKT1	10	0_HALLMARK_G2M_CHECKPOINT	0.900	0_HALLMARK_E2F_TARGETS	0.900	2_CELL_PROLIFERATION_GO_0008283	0.900	2_CELL_CYCLE_GO_0007049	0.900	1_KEGG_CELL_CYCLE	0.800	2_M_PHASE	0.800	2_CELL_CYCLE_PROCESS	0.800	2_CELL_CYCLE_PHASE	0.800	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.800	2_REGULATION_OF_CELL_CYCLE	0.800	0_HALLMARK_MITOTIC_SPINDLE	0.700	1_KEGG_PATHWAYS_IN_CANCER	0.700	2_CHROMOSOME	0.700	2_MITOTIC_CELL_CYCLE	0.700	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.700	2_MITOSIS	0.700	2_M_PHASE_OF_MITOTIC_CELL_CYCLE	0.700	1_KEGG_P53_SIGNALING_PATHWAY	0.600	1_KEGG_PANCREATIC_CANCER	0.600	2_NON_MEMBRANE_BOUND_ORGANELLE	0.600	2_CHROMOSOMEPERICENTRIC_REGION	0.600	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	0.600	1_KEGG_MELANOMA	0.500	2_MICROTUBULE_CYTOSKELETON	0.500	2_REGULATION_OF_MITOSIS	0.500	
AKT2	20	0_HALLMARK_G2M_CHECKPOINT	0.800	0_HALLMARK_E2F_TARGETS	0.800	1_KEGG_CELL_CYCLE	0.750	1_KEGG_P53_SIGNALING_PATHWAY	0.750	2_CELL_CYCLE_GO_0007049	0.750	1_KEGG_PATHWAYS_IN_CANCER	0.700	2_M_PHASE	0.650	2_CELL_CYCLE_PROCESS	0.650	2_MITOTIC_CELL_CYCLE	0.650	2_CELL_CYCLE_PHASE	0.650	2_CELL_PROLIFERATION_GO_0008283	0.600	2_REGULATION_OF_CELL_CYCLE	0.600	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.550	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.450	1_KEGG_PANCREATIC_CANCER	0.450	1_KEGG_PROSTATE_CANCER	0.400	1_KEGG_SMALL_CELL_LUNG_CANCER	0.400	1_KEGG_GLIOMA	0.350	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.350	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.300	1_KEGG_MELANOMA	0.300	2_DNA_METABOLIC_PROCESS	0.300	2_REGULATION_OF_KINASE_ACTIVITY	0.300	2_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	0.300	2_MITOSIS	0.300	
AKT3	16	1_KEGG_P53_SIGNALING_PATHWAY	0.688	1_KEGG_PATHWAYS_IN_CANCER	0.688	2_REGULATION_OF_CELL_CYCLE	0.688	1_KEGG_CELL_CYCLE	0.563	1_KEGG_PANCREATIC_CANCER	0.563	2_CELL_PROLIFERATION_GO_0008283	0.563	2_CELL_CYCLE_GO_0007049	0.563	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_E2F_TARGETS	0.500	1_KEGG_PROSTATE_CANCER	0.438	1_KEGG_SMALL_CELL_LUNG_CANCER	0.438	1_KEGG_FOCAL_ADHESION	0.375	1_KEGG_GLIOMA	0.375	1_KEGG_MELANOMA	0.375	2_M_PHASE	0.375	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.313	1_KEGG_COLORECTAL_CANCER	0.313	2_CELL_CYCLE_PROCESS	0.313	2_CELL_CYCLE_PHASE	0.313	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.313	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.313	0_HALLMARK_MITOTIC_SPINDLE	0.250	1_KEGG_APOPTOSIS	0.250	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.250	1_KEGG_ENDOMETRIAL_CANCER	0.250	
ANGPT1	23	1_KEGG_CELL_CYCLE	0.696	1_KEGG_PATHWAYS_IN_CANCER	0.652	1_KEGG_P53_SIGNALING_PATHWAY	0.609	2_REGULATION_OF_CELL_CYCLE	0.609	2_CELL_CYCLE_GO_0007049	0.565	2_CELL_PROLIFERATION_GO_0008283	0.522	0_HALLMARK_G2M_CHECKPOINT	0.478	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.478	0_HALLMARK_E2F_TARGETS	0.435	2_EXTRACELLULAR_REGION	0.435	2_REGULATION_OF_KINASE_ACTIVITY	0.435	2_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	0.435	2_REGULATION_OF_TRANSFERASE_ACTIVITY	0.435	2_CELL_CYCLE_PHASE	0.435	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.435	1_KEGG_SMALL_CELL_LUNG_CANCER	0.391	2_EXTRACELLULAR_REGION_PART	0.391	2_CELL_CYCLE_PROCESS	0.391	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.391	1_KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.348	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	0.348	2_EXTRACELLULAR_MATRIX	0.348	2_COLLAGEN	0.348	0_HALLMARK_ANGIOGENESIS	0.304	0_HALLMARK_KRAS_SIGNALING_UP	0.304	
ANXA2	2	0_HALLMARK_HYPOXIA	0.500	0_HALLMARK_G2M_CHECKPOINT	0.500	0_HALLMARK_E2F_TARGETS	0.500	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	0_HALLMARK_ANGIOGENESIS	0.500	1_KEGG_CELL_CYCLE	0.500	1_KEGG_P53_SIGNALING_PATHWAY	0.500	2_PROTEINACEOUS_EXTRACELLULAR_MATRIX	0.500	2_EXTRACELLULAR_MATRIX_PART	0.500	2_EXTRACELLULAR_REGION	0.500	2_EXTRACELLULAR_REGION_PART	0.500	2_EXTRACELLULAR_MATRIX	0.500	2_COLLAGEN	0.500	2_M_PHASE	0.500	2_SKELETAL_DEVELOPMENT	0.500	2_CELL_CYCLE_PROCESS	0.500	2_MITOTIC_CELL_CYCLE	0.500	2_CELL_CYCLE_PHASE	0.500	2_RESPONSE_TO_STRESS	0.500	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.500	2_CELL_CYCLE_GO_0007049	0.500	2_ORGAN_DEVELOPMENT	0.500	2_REGULATION_OF_CELL_CYCLE	0.500	2_POLYSACCHARIDE_BINDING	0.500	2_PATTERN_BINDING	0.500	
AQP1	2	2_EXCRETION	1.000	
ARID1A	3	0_HALLMARK_G2M_CHECKPOINT	0.667	0_HALLMARK_E2F_TARGETS	0.667	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.667	1_KEGG_CELL_CYCLE	0.667	1_KEGG_P53_SIGNALING_PATHWAY	0.667	1_KEGG_PATHWAYS_IN_CANCER	0.667	1_KEGG_PANCREATIC_CANCER	0.667	1_KEGG_SMALL_CELL_LUNG_CANCER	0.667	2_NUCLEUS	0.667	2_DNA_METABOLIC_PROCESS	0.667	2_REGULATION_OF_KINASE_ACTIVITY	0.667	2_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	0.667	2_RESPONSE_TO_ENDOGENOUS_STIMULUS	0.667	2_M_PHASE	0.667	2_REGULATION_OF_TRANSFERASE_ACTIVITY	0.667	2_CELL_CYCLE_PROCESS	0.667	2_MITOTIC_CELL_CYCLE	0.667	2_CELL_CYCLE_PHASE	0.667	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.667	2_DNA_DAMAGE_RESPONSESIGNAL_TRANSDUCTION	0.667	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.667	2_CELL_PROLIFERATION_GO_0008283	0.667	2_MITOSIS	0.667	2_CELL_CYCLE_GO_0007049	0.667	2_INTERPHASE_OF_MITOTIC_CELL_CYCLE	0.667	
ATN1	7	0_HALLMARK_E2F_TARGETS	0.714	1_KEGG_CELL_CYCLE	0.714	2_REGULATION_OF_CELL_CYCLE	0.714	0_HALLMARK_G2M_CHECKPOINT	0.571	1_KEGG_P53_SIGNALING_PATHWAY	0.571	2_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.571	2_CELL_CYCLE_GO_0007049	0.571	1_KEGG_PATHWAYS_IN_CANCER	0.429	2_M_PHASE	0.429	2_CELL_CYCLE_PROCESS	0.429	2_MITOTIC_CELL_CYCLE	0.429	2_CELL_CYCLE_PHASE	0.429	2_CELL_CYCLE_CHECKPOINT_GO_0000075	0.429	2_CELL_PROLIFERATION_GO_0008283	0.429	2_MITOSIS	0.429	2_M_PHASE_OF_MITOTIC_CELL_CYCLE	0.429	0_HALLMARK_MITOTIC_SPINDLE	0.286	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.286	1_KEGG_MELANOMA	0.286	2_NON_MEMBRANE_BOUND_ORGANELLE	0.286	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	0.286	2_CHROMOSOME	0.286	2_DNA_METABOLIC_PROCESS	0.286	2_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	0.286	2_REGULATION_OF_MITOSIS	0.286	
