AATK	1	
ABCB1	6	1_KEGG_ABC_TRANSPORTERS	0.333	2_RESPONSE_TO_DRUG	0.333	
ABCE1	1	0_HALLMARK_DNA_REPAIR	1.000	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_E2F_TARGETS	1.000	0_HALLMARK_MYC_TARGETS_V1	1.000	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.000	1_KEGG_MISMATCH_REPAIR	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_P53_SIGNALING_PATHWAY	1.000	
ABL1	3	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_MISMATCH_REPAIR	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	2_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE	1.000	2_CHROMOSOME	1.000	2_DNA_METABOLIC_PROCESS	1.000	2_DNA_REPAIR	1.000	
ABL2	3	2_TRANSMEMBRANE_RECEPTOR_PROTEIN_PHOSPHATASE_ACTIVITY	0.667	0_HALLMARK_G2M_CHECKPOINT	0.333	0_HALLMARK_E2F_TARGETS	0.333	0_HALLMARK_UV_RESPONSE_DN	0.333	1_KEGG_ERBB_SIGNALING_PATHWAY	0.333	1_KEGG_CELL_CYCLE	0.333	1_KEGG_FOCAL_ADHESION	0.333	1_KEGG_ECM_RECEPTOR_INTERACTION	0.333	1_KEGG_JAK_STAT_SIGNALING_PATHWAY	0.333	1_KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.333	
ACAN	7	2_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.714	0_HALLMARK_IL6_JAK_STAT3_SIGNALING	0.143	0_HALLMARK_G2M_CHECKPOINT	0.143	0_HALLMARK_E2F_TARGETS	0.143	0_HALLMARK_MYC_TARGETS_V1	0.143	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.143	1_KEGG_DNA_REPLICATION	0.143	1_KEGG_MISMATCH_REPAIR	0.143	1_KEGG_CELL_CYCLE	0.143	1_KEGG_JAK_STAT_SIGNALING_PATHWAY	0.143	
ACLY	2	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_PROSTATE_CANCER	1.000	2_NUCLEUS	1.000	2_DNA_METABOLIC_PROCESS	1.000	2_BIOPOLYMER_METABOLIC_PROCESS	1.000	2_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	1.000	2_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.000	2_RESPONSE_TO_DNA_DAMAGE_STIMULUS	1.000	
ACTA1	3	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.667	1_KEGG_P53_SIGNALING_PATHWAY	0.667	1_KEGG_PATHWAYS_IN_CANCER	0.667	1_KEGG_COLORECTAL_CANCER	0.667	1_KEGG_ENDOMETRIAL_CANCER	0.667	1_KEGG_GLIOMA	0.667	1_KEGG_PROSTATE_CANCER	0.667	1_KEGG_NON_SMALL_CELL_LUNG_CANCER	0.667	0_HALLMARK_HYPOXIA	0.333	0_HALLMARK_G2M_CHECKPOINT	0.333	
ACTG1	2	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_FOCAL_ADHESION	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_COLORECTAL_CANCER	1.000	0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.500	1_KEGG_DNA_REPLICATION	0.500	1_KEGG_MISMATCH_REPAIR	0.500	1_KEGG_MAPK_SIGNALING_PATHWAY	0.500	1_KEGG_P53_SIGNALING_PATHWAY	0.500	
ACTR1B	1	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_ESTROGEN_RESPONSE_EARLY	1.000	0_HALLMARK_E2F_TARGETS	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_P53_SIGNALING_PATHWAY	1.000	1_KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	1_KEGG_THYROID_CANCER	1.000	2_NUCLEOPLASM	1.000	2_ORGANELLE_PART	1.000	
ADAM12	1	
ADAM17	1	0_HALLMARK_DNA_REPAIR	1.000	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_APOPTOSIS	1.000	0_HALLMARK_E2F_TARGETS	1.000	0_HALLMARK_MYC_TARGETS_V1	1.000	1_KEGG_DNA_REPLICATION	1.000	1_KEGG_BASE_EXCISION_REPAIR	1.000	1_KEGG_MISMATCH_REPAIR	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_APOPTOSIS	1.000	
ADAMTS10	1	1_KEGG_MAPK_SIGNALING_PATHWAY	1.000	1_KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.000	1_KEGG_APOPTOSIS	1.000	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	1.000	1_KEGG_JAK_STAT_SIGNALING_PATHWAY	1.000	1_KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.000	1_KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1.000	1_KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.000	1_KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1.000	1_KEGG_PATHWAYS_IN_CANCER	1.000	
ADAMTS14	1	0_HALLMARK_G2M_CHECKPOINT	1.000	0_HALLMARK_COMPLEMENT	1.000	0_HALLMARK_E2F_TARGETS	1.000	0_HALLMARK_IL2_STAT5_SIGNALING	1.000	0_HALLMARK_ALLOGRAFT_REJECTION	1.000	1_KEGG_MAPK_SIGNALING_PATHWAY	1.000	1_KEGG_CELL_CYCLE	1.000	1_KEGG_APOPTOSIS	1.000	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	1.000	1_KEGG_HEMATOPOIETIC_CELL_LINEAGE	1.000	
ADAMTS17	1	
