GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
TP53	0.482	0.482	0.000	0.000	CC	PC	191.306806208369	0.482	0.482	0.000	0.000
PCDHGC5	0.467	0.467	0.000	0.000	-	-	137.599039626558	0.485	0.485	0.000	0.000
TTN	0.454	0.454	0.000	0.000	-	-	117.393120574017	0.476	0.476	0.000	0.000
KRAS	0.301	0.292	0.000	0.015	CC	PC	78.4979112977784	0.303	0.294	0.000	0.015
RYR2	0.265	0.263	0.000	0.004	-	-	64.4240336903202	0.358	0.356	0.000	0.004
TNR	0.128	0.128	0.000	0.002	-	-	54.0354583684536	0.164	0.164	0.000	0.002
LAMA2	0.111	0.111	0.000	0.000	-	-	53.8941897865659	0.113	0.113	0.000	0.000
APOB	0.162	0.162	0.000	0.000	-	-	53.1082155141731	0.179	0.179	0.000	0.000
COL11A1	0.117	0.117	0.000	0.002	-	-	48.6591296980083	0.170	0.170	0.000	0.002
DMD	0.119	0.119	0.000	0.000	-	PC	47.555087756707	0.131	0.131	0.000	0.000
LAMA1	0.084	0.084	0.000	0.002	-	-	45.7887143086408	0.102	0.102	0.000	0.004
LRP2	0.117	0.117	0.000	0.002	-	-	45.531102222821	0.131	0.131	0.000	0.002
NRXN1	0.122	0.119	0.000	0.002	-	-	44.5549337111898	0.144	0.142	0.000	0.002
RELN	0.102	0.097	0.000	0.004	-	-	42.7418594627617	0.155	0.150	0.000	0.004
VCAN	0.115	0.115	0.000	0.000	-	-	39.198738501884	0.144	0.144	0.000	0.000
PCDHAC2	0.153	0.153	0.000	0.000	-	-	39.0987987365734	0.425	0.425	0.000	0.000
KDR	0.073	0.071	0.000	0.004	CC	-	38.2368867086176	0.077	0.075	0.000	0.004
PDGFRA	0.073	0.073	0.000	0.000	CC	PC	36.9365554608916	0.084	0.084	0.000	0.000
EGFR	0.137	0.128	0.000	0.029	CC	PC	33.0195849284147	0.139	0.131	0.000	0.029
LRP1B	0.148	0.148	0.000	0.000	-	-	32.9341569737068	0.319	0.319	0.000	0.000
CACNA1E	0.139	0.137	0.000	0.002	-	-	31.4079881499573	0.159	0.157	0.000	0.002
ITGA8	0.084	0.084	0.000	0.000	-	-	28.7361648506054	0.097	0.097	0.000	0.000
TIAM1	0.060	0.060	0.000	0.000	-	-	28.5954373205496	0.091	0.091	0.000	0.000
PLCB1	0.069	0.069	0.000	0.000	-	-	27.0527210518688	0.080	0.080	0.000	0.000
ACTN2	0.071	0.066	0.000	0.004	-	-	26.1675259787953	0.071	0.066	0.000	0.004
GLI3	0.069	0.062	0.000	0.007	-	-	24.9738606197732	0.077	0.071	0.000	0.007
GRIN2B	0.102	0.095	0.002	0.004	-	-	24.0958788173379	0.122	0.115	0.002	0.004
COL6A3	0.058	0.058	0.000	0.000	-	-	23.8148055698487	0.122	0.122	0.000	0.000
LAMA4	0.049	0.049	0.000	0.000	-	-	23.7956667913336	0.064	0.064	0.000	0.000
PIK3CA	0.062	0.062	0.000	0.004	CC	PC	23.793431178206	0.064	0.064	0.000	0.004
PRKCB	0.035	0.035	0.000	0.000	-	-	23.5813431539294	0.044	0.044	0.000	0.000
PLG	0.046	0.046	0.000	0.000	-	-	22.8767178002756	0.055	0.055	0.000	0.000
PTPRB	0.058	0.051	0.000	0.007	-	-	21.9022179869825	0.084	0.069	0.000	0.015
FLNC	0.046	0.046	0.000	0.000	-	-	21.8319968841927	0.080	0.080	0.000	0.000
PIK3CG	0.046	0.042	0.000	0.004	-	PC	21.6449716785694	0.055	0.051	0.000	0.004
GLI1	0.044	0.038	0.000	0.007	-	-	21.3166819343381	0.055	0.046	0.000	0.009
PLCG2	0.031	0.031	0.000	0.000	-	-	21.2927725379111	0.033	0.033	0.000	0.000
NOTCH4	0.049	0.049	0.000	0.000	-	-	21.1862114730201	0.093	0.093	0.000	0.000
LAMB1	0.055	0.053	0.000	0.004	-	-	20.4506822506662	0.064	0.062	0.000	0.004
NOS1	0.040	0.040	0.000	0.000	-	-	19.864424234327	0.053	0.053	0.000	0.000
AKAP6	0.042	0.038	0.000	0.007	-	-	19.4836155590187	0.100	0.082	0.000	0.022
ACTB	0.022	0.013	0.002	0.007	-	-	18.9994414133209	0.029	0.018	0.002	0.009
NFKBIA	0.029	0.000	0.000	0.029	-	-	18.9359755145243	0.062	0.004	0.000	0.058
CREBBP	0.038	0.038	0.000	0.000	CC	-	18.8820907433071	0.053	0.053	0.000	0.000
CTNNA2	0.051	0.051	0.000	0.000	-	-	18.4992557549457	0.104	0.104	0.000	0.000
ATM	0.044	0.044	0.000	0.000	CC	PC	18.1237815518489	0.082	0.082	0.000	0.000
ANK2	0.064	0.064	0.000	0.000	-	-	18.1194964088167	0.204	0.204	0.000	0.000
ITGA4	0.044	0.040	0.000	0.004	-	-	16.9105902580428	0.066	0.062	0.000	0.004
RB1	0.029	0.024	0.004	0.000	CC	PC	16.7798117561149	0.044	0.040	0.004	0.000
ERBB2	0.029	0.018	0.000	0.011	CC	PC	16.7742622120814	0.033	0.020	0.000	0.013
EPHB1	0.038	0.038	0.000	0.000	-	-	16.665052933833	0.066	0.066	0.000	0.000
RYR1	0.051	0.049	0.000	0.002	-	-	15.849246311482	0.164	0.155	0.000	0.011
NID1	0.031	0.031	0.000	0.000	-	-	15.7471505337929	0.069	0.064	0.000	0.004
ITGA10	0.033	0.027	0.000	0.009	-	-	15.2175751290511	0.058	0.049	0.000	0.011
GLI2	0.035	0.033	0.000	0.002	-	-	15.2149850172056	0.046	0.042	0.000	0.004
NOS2	0.033	0.031	0.000	0.002	-	-	13.9483206076519	0.040	0.038	0.000	0.002
SMAD4	0.035	0.033	0.002	0.000	-	PC	13.7799291058774	0.049	0.046	0.002	0.000
NPR1	0.035	0.033	0.000	0.002	-	-	13.6440476493269	0.038	0.033	0.000	0.004
ERBB4	0.033	0.033	0.000	0.000	-	-	13.3628146086648	0.073	0.073	0.000	0.000
RASGRF2	0.020	0.020	0.000	0.000	-	-	13.3471061437931	0.031	0.031	0.000	0.000
LAMA3	0.031	0.029	0.000	0.002	-	-	13.2080462941222	0.064	0.055	0.000	0.011
NOTCH1	0.027	0.027	0.000	0.000	CC	PC	12.3081953994495	0.040	0.040	0.000	0.000
MMRN1	0.020	0.020	0.000	0.000	-	-	12.0958999461723	0.080	0.080	0.000	0.000
LYN	0.020	0.009	0.000	0.011	-	PC	11.8697199214375	0.022	0.011	0.000	0.011
CTNNB1	0.035	0.035	0.000	0.000	CC	PC	11.8614896509076	0.040	0.040	0.000	0.000
LRP1	0.042	0.038	0.000	0.004	-	-	11.2630486476371	0.066	0.062	0.000	0.004
SOS1	0.029	0.029	0.000	0.000	-	PC	11.1837071396025	0.029	0.029	0.000	0.000
NPR3	0.049	0.024	0.000	0.027	-	-	11.1692157141588	0.055	0.029	0.000	0.029
