GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
TP53	0.266	0.250	0.016	0.000	CC	PC	119.830316918634	0.266	0.250	0.016	0.000
TTN	0.286	0.286	0.000	0.000	-	-	92.3294778136288	0.417	0.417	0.000	0.000
CTNNB1	0.271	0.271	0.000	0.000	CC	PC	46.6818646049783	0.276	0.276	0.000	0.000
LAMA1	0.094	0.094	0.000	0.000	-	-	40.6694568650292	0.099	0.099	0.000	0.000
COL14A1	0.115	0.047	0.000	0.068	-	-	38.6814818986676	0.125	0.052	0.000	0.073
APOB	0.146	0.141	0.000	0.005	-	-	37.8646066059101	0.151	0.146	0.000	0.005
FN1	0.052	0.052	0.000	0.000	-	PC	36.463907531838	0.057	0.057	0.000	0.000
HTT	0.047	0.047	0.000	0.000	-	-	34.8633110309567	0.078	0.078	0.000	0.000
DMD	0.089	0.089	0.000	0.000	-	PC	31.1564057066103	0.109	0.109	0.000	0.000
SMARCA2	0.026	0.021	0.000	0.005	-	-	27.5022337801071	0.052	0.042	0.005	0.005
PTK2	0.078	0.031	0.000	0.052	-	-	25.4633993271266	0.089	0.031	0.000	0.062
LRP2	0.078	0.078	0.000	0.000	-	-	24.8234541518262	0.099	0.099	0.000	0.000
PCDH11Y	0.094	0.021	0.073	0.000	-	-	21.9013819258136	0.172	0.036	0.141	0.000
PTK2B	0.052	0.021	0.031	0.000	-	-	21.8409132668189	0.073	0.031	0.042	0.000
ITGAV	0.036	0.036	0.000	0.000	-	-	21.7592544222611	0.042	0.042	0.000	0.000
LAMC1	0.057	0.047	0.000	0.010	-	-	21.5755265915442	0.062	0.052	0.000	0.010
RB1	0.052	0.042	0.010	0.000	CC	PC	20.1943235509648	0.083	0.062	0.026	0.000
AR	0.042	0.031	0.000	0.010	-	PC	19.7020734482664	0.042	0.031	0.000	0.010
FBN2	0.021	0.021	0.000	0.000	-	PC	18.7956456292078	0.083	0.083	0.000	0.000
LRP1	0.073	0.073	0.000	0.000	-	-	18.6883453476326	0.078	0.078	0.000	0.000
NFKB1	0.026	0.021	0.005	0.000	-	-	18.3601913967919	0.036	0.031	0.005	0.000
PIK3CB	0.016	0.016	0.000	0.000	-	PC	17.5018781158239	0.036	0.036	0.000	0.000
BCL9	0.036	0.010	0.000	0.026	CC	-	17.089311910693	0.042	0.016	0.000	0.026
SOS2	0.021	0.021	0.000	0.000	-	-	16.8720195887399	0.042	0.042	0.000	0.000
NCOR1	0.021	0.021	0.000	0.000	-	PC	16.8262670510387	0.062	0.047	0.016	0.000
HSPG2	0.026	0.026	0.000	0.000	-	-	16.4303951542776	0.052	0.052	0.000	0.000
PRKDC	0.068	0.052	0.000	0.016	-	-	16.1546658074242	0.120	0.083	0.000	0.036
MAPK1	0.010	0.010	0.000	0.000	-	-	15.8180450866041	0.021	0.016	0.005	0.000
PGR	0.010	0.010	0.000	0.000	-	-	15.6876738490053	0.026	0.026	0.000	0.000
STAT2	0.005	0.005	0.000	0.000	-	-	15.6787158661305	0.021	0.021	0.000	0.000
SMAD9	0.005	0.005	0.000	0.000	-	-	15.6787158661305	0.021	0.021	0.000	0.000
LZTS1	0.005	0.005	0.000	0.000	-	-	15.6787158661305	0.052	0.010	0.047	0.000
AXIN2	0.005	0.005	0.000	0.000	-	PC	15.6787158661305	0.026	0.021	0.000	0.005
VCAN	0.052	0.052	0.000	0.000	-	-	15.4011220488993	0.089	0.089	0.000	0.000
SLIT2	0.031	0.031	0.000	0.000	-	-	14.765287646484	0.057	0.057	0.000	0.000
USF1	0.031	0.005	0.000	0.026	-	-	14.3339047273992	0.036	0.010	0.000	0.026
CCND1	0.010	0.000	0.000	0.010	CC	PC	14.2729597055567	0.036	0.005	0.000	0.031
ITGA1	0.016	0.016	0.000	0.000	-	-	13.8843850459044	0.021	0.021	0.000	0.000
FBXW11	0.021	0.021	0.000	0.000	-	-	13.8695243337867	0.031	0.031	0.000	0.000
FLNC	0.021	0.021	0.000	0.000	-	-	13.2902643962501	0.031	0.031	0.000	0.000
FBN1	0.057	0.057	0.000	0.000	-	-	13.0114753026222	0.078	0.078	0.000	0.000
TLN1	0.026	0.026	0.000	0.000	-	-	13.0048978686019	0.031	0.031	0.000	0.000
RASA1	0.026	0.026	0.000	0.000	-	PC	12.8306800794836	0.026	0.026	0.000	0.000
LAMA3	0.042	0.042	0.000	0.000	-	-	12.6236692912289	0.057	0.057	0.000	0.000
RYR2	0.052	0.052	0.000	0.000	-	-	12.539838681376	0.146	0.141	0.000	0.005
PAK3	0.021	0.010	0.000	0.010	-	-	12.5325693076124	0.047	0.021	0.000	0.026
IPO5	0.036	0.016	0.000	0.021	-	-	12.1040603782907	0.036	0.016	0.000	0.021
SMARCA4	0.042	0.042	0.000	0.000	CC	PC	11.7531885322721	0.052	0.052	0.000	0.000
MLLT4	0.021	0.021	0.000	0.000	CC	PC	11.4982116740074	0.057	0.052	0.005	0.000
USF2	0.016	0.000	0.000	0.016	-	-	10.8191695441171	0.016	0.000	0.000	0.016
COL16A1	0.010	0.010	0.000	0.000	-	-	10.4626472030244	0.062	0.062	0.000	0.000
FADD	0.016	0.005	0.000	0.010	-	-	10.4492243861505	0.031	0.010	0.000	0.026
PARD3	0.010	0.010	0.000	0.000	-	-	10.4271685251277	0.036	0.026	0.000	0.010
TNNT3	0.005	0.005	0.000	0.000	-	-	10.4178847677465	0.010	0.010	0.000	0.000
TLE1	0.005	0.005	0.000	0.000	-	-	10.4178847677465	0.021	0.021	0.000	0.000
HDAC2	0.005	0.005	0.000	0.000	-	-	10.4178847677465	0.021	0.021	0.000	0.000
DCC	0.005	0.005	0.000	0.000	-	-	10.4178847677465	0.052	0.052	0.000	0.000
ATR	0.031	0.031	0.000	0.000	-	PC	10.1631890211639	0.052	0.052	0.000	0.000
KCNJ12	0.016	0.010	0.005	0.000	-	-	10.0809346771021	0.036	0.026	0.005	0.005
VLDLR	0.010	0.005	0.000	0.005	-	-	9.92656311468056	0.021	0.010	0.005	0.005
STAT3	0.026	0.021	0.000	0.005	-	PC	9.84275533435419	0.031	0.026	0.000	0.005
YWHAE	0.010	0.005	0.000	0.005	CC	-	9.71434805216703	0.026	0.010	0.010	0.005
LRP8	0.010	0.010	0.000	0.000	-	-	9.60106029692981	0.016	0.016	0.000	0.000
BRCA1	0.021	0.021	0.000	0.000	CC	PC	9.51731007989908	0.047	0.042	0.000	0.005
NUP153	0.031	0.016	0.000	0.016	-	-	9.39092835604075	0.073	0.052	0.000	0.021
JAK1	0.021	0.021	0.000	0.000	CC	-	9.37761986603338	0.026	0.026	0.000	0.000
AKT3	0.016	0.010	0.000	0.005	-	-	9.27013283877639	0.026	0.021	0.000	0.005
GLI2	0.021	0.021	0.000	0.000	-	-	8.82601200548718	0.052	0.052	0.000	0.000
EP300	0.026	0.026	0.000	0.000	CC	PC	8.66014377431859	0.026	0.026	0.000	0.000
ARID1A	0.052	0.052	0.000	0.000	CC	PC	8.65545175077182	0.078	0.078	0.000	0.000
FGA	0.021	0.016	0.005	0.000	-	-	8.49057616024088	0.031	0.026	0.005	0.000
ITGB2	0.026	0.026	0.000	0.000	-	-	8.39528849855189	0.026	0.026	0.000	0.000
EGF	0.036	0.031	0.005	0.000	-	-	8.2852235291617	0.042	0.036	0.005	0.000
ARID2	0.016	0.016	0.000	0.000	CC	PC	8.22866190146449	0.036	0.036	0.000	0.000
PLCG2	0.036	0.036	0.000	0.000	-	-	8.21685956231096	0.052	0.052	0.000	0.000
PLCG1	0.010	0.010	0.000	0.000	-	PC	8.17491183307291	0.026	0.026	0.000	0.000
SIN3A	0.010	0.010	0.000	0.000	-	PC	8.14230378111743	0.021	0.021	0.000	0.000
UBE2L3	0.010	0.005	0.005	0.000	-	-	8.05877964985486	0.010	0.005	0.005	0.000
PPP2R5B	0.010	0.010	0.000	0.000	-	-	8.04660258276804	0.021	0.021	0.000	0.000
TP63	0.010	0.010	0.000	0.000	-	-	8.02082982327794	0.021	0.021	0.000	0.000
RXRA	0.010	0.010	0.000	0.000	-	PC	8.0177641418124	0.026	0.026	0.000	0.000
SMARCB1	0.005	0.000	0.005	0.000	CC	-	8.01351700428896	0.005	0.000	0.005	0.000
NF2	0.005	0.000	0.005	0.000	CC	-	8.01351700428896	0.026	0.021	0.005	0.000
APOH	0.010	0.005	0.000	0.005	-	-	7.96287218629842	0.021	0.016	0.000	0.005
NACA	0.005	0.005	0.000	0.000	CC	-	7.913049766005	0.026	0.026	0.000	0.000
HNRNPD	0.005	0.000	0.005	0.000	-	-	7.913049766005	0.021	0.016	0.005	0.000
CASP2	0.005	0.005	0.000	0.000	-	-	7.913049766005	0.005	0.005	0.000	0.000
APC2	0.005	0.005	0.000	0.000	-	-	7.913049766005	0.010	0.010	0.000	0.000
AP2A1	0.005	0.005	0.000	0.000	-	-	7.913049766005	0.016	0.016	0.000	0.000
JAK2	0.021	0.010	0.005	0.005	CC	PC	7.86890773234402	0.036	0.026	0.005	0.005
CTTN	0.016	0.000	0.000	0.016	-	PC	7.80602665287365	0.047	0.026	0.000	0.021
HSP90AA1	0.016	0.016	0.000	0.000	-	-	7.80492825584454	0.016	0.016	0.000	0.000
ADAM15	0.026	0.000	0.000	0.026	-	-	7.80376781654375	0.042	0.000	0.000	0.042
CELSR1	0.031	0.031	0.000	0.000	-	-	7.77232363532217	0.068	0.068	0.000	0.000
DSG2	0.005	0.005	0.000	0.000	-	-	7.75787336138635	0.016	0.016	0.000	0.000
SMAD2	0.010	0.010	0.000	0.000	-	PC	7.74068847922684	0.010	0.010	0.000	0.000
MED1	0.010	0.010	0.000	0.000	-	-	7.6126957162718	0.021	0.016	0.000	0.005
FGFR1	0.016	0.005	0.005	0.005	CC	-	7.55419848898027	0.047	0.005	0.036	0.005
ITGB4	0.005	0.005	0.000	0.000	-	-	7.49135059693656	0.036	0.031	0.000	0.005
SOS1	0.031	0.026	0.000	0.005	-	PC	7.43171837804691	0.042	0.036	0.000	0.005
CREBBP	0.031	0.031	0.000	0.000	CC	-	7.34418182288607	0.047	0.047	0.000	0.000
ARNT	0.016	0.000	0.000	0.016	CC	-	7.25207387724626	0.026	0.000	0.000	0.026
DAZ4	0.083	0.000	0.083	0.000	-	-	7.07747547589239	0.172	0.000	0.167	0.005
FGFR2	0.031	0.031	0.000	0.000	CC	PC	7.06709054616761	0.042	0.042	0.000	0.000
ADAM17	0.010	0.010	0.000	0.000	-	-	6.9708169926611	0.036	0.031	0.000	0.005
SDS	0.016	0.016	0.000	0.000	-	-	6.85174683307841	0.016	0.016	0.000	0.000
ADAM12	0.036	0.036	0.000	0.000	-	-	6.81148269437386	0.042	0.042	0.000	0.000
LYN	0.016	0.005	0.000	0.010	-	PC	6.69811097032239	0.057	0.010	0.000	0.047
RARA	0.010	0.010	0.000	0.000	CC	-	6.68515918094237	0.016	0.010	0.000	0.005
XPO5	0.016	0.016	0.000	0.000	-	-	6.67819779866569	0.047	0.031	0.000	0.016
TG	0.052	0.026	0.000	0.026	-	-	6.62800229298697	0.120	0.047	0.000	0.073
GLI1	0.016	0.016	0.000	0.000	-	-	6.61130558416763	0.021	0.021	0.000	0.000
SNRPB2	0.005	0.005	0.000	0.000	-	-	6.59303057248302	0.005	0.005	0.000	0.000
NGF	0.005	0.005	0.000	0.000	-	-	6.59303057248302	0.005	0.005	0.000	0.000
GRB14	0.010	0.010	0.000	0.000	-	-	6.54959239824484	0.021	0.016	0.005	0.000
ACTN2	0.016	0.016	0.000	0.000	-	-	6.48797176886378	0.042	0.036	0.000	0.005
COPS5	0.005	0.000	0.000	0.005	-	-	6.46889901176115	0.057	0.005	0.000	0.052
VCL	0.016	0.010	0.000	0.005	-	-	6.14587971159107	0.026	0.021	0.000	0.005
ARID1B	0.036	0.036	0.000	0.000	-	-	6.07621754626937	0.052	0.052	0.000	0.000
ACTA1	0.010	0.000	0.000	0.010	-	-	5.8668578522014	0.010	0.000	0.000	0.010
UBE2N	0.010	0.010	0.000	0.000	-	-	5.82541914407826	0.016	0.016	0.000	0.000
NOS1	0.031	0.031	0.000	0.000	-	-	5.82147839375372	0.057	0.057	0.000	0.000
RAD51	0.005	0.005	0.000	0.000	-	-	5.81791417360833	0.016	0.016	0.000	0.000
AXIN1	0.036	0.036	0.000	0.000	-	-	5.72550377399794	0.036	0.036	0.000	0.000
POLR3A	0.010	0.005	0.000	0.005	-	-	5.68103041855528	0.036	0.031	0.000	0.005
CDH23	0.005	0.000	0.000	0.005	-	-	5.66086989754292	0.068	0.062	0.000	0.005
ITGB1	0.016	0.010	0.000	0.005	-	-	5.5435053650689	0.016	0.010	0.000	0.005
CD44	0.005	0.005	0.000	0.000	-	-	5.48817411638135	0.005	0.005	0.000	0.000
CCNB1	0.005	0.005	0.000	0.000	-	-	5.48817411638135	0.021	0.021	0.000	0.000
RPS6KA3	0.010	0.010	0.000	0.000	-	-	5.39258067398786	0.026	0.026	0.000	0.000
PSEN2	0.005	0.000	0.000	0.005	-	-	5.3511461324551	0.010	0.000	0.000	0.010
