0_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2_EXTRACELLULAR_STRUCTURE_ORGANIZATION_AND_BIOGENESIS	2_GATED_CHANNEL_ACTIVITY	2_SUBSTRATE_SPECIFIC_CHANNEL_ACTIVITY	2_GENERATION_OF_NEURONS	2_PLASMA_MEMBRANE	1_KEGG_CELL_ADHESION_MOLECULES_CAMS	1_KEGG_AXON_GUIDANCE	0_HALLMARK_MYOGENESIS	1_KEGG_FOCAL_ADHESION	2_CATION_TRANSPORT	2_SYNAPTOGENESIS	2_NEURON_DIFFERENTIATION	0_HALLMARK_APICAL_JUNCTION	2_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	2_CATION_CHANNEL_ACTIVITY	2_ION_CHANNEL_ACTIVITY	2_AXONOGENESIS	2_VOLTAGE_GATED_CHANNEL_ACTIVITY	2_ANATOMICAL_STRUCTURE_DEVELOPMENT	2_SYSTEM_DEVELOPMENT	2_NERVOUS_SYSTEM_DEVELOPMENT	0_HALLMARK_UV_RESPONSE_DN	2_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2_SYNAPSE_ORGANIZATION_AND_BIOGENESIS	2_BASEMENT_MEMBRANE	1_KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2_METAL_ION_TRANSPORT	2_PLASMA_MEMBRANE_PART	2_CELL_PROJECTION	1_KEGG_P53_SIGNALING_PATHWAY	2_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	2_NEURON_DEVELOPMENT	1_KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	2_SYSTEM_PROCESS
STAD_1_TTN	0.696	0.457	0.511	0	0	0	0.793	0.728	0.761	0.565	0	0	0.5	0	0.62	0.533	0.467	0	0.478	0.674	0.663	0	0.62	0	0	0	0	0	0.467	0	0.533	0	0.576	0.674	0
STAD_2_TP53	0.617	0.469	0.457	0	0	0	0.691	0.63	0.753	0.469	0	0.494	0.457	0	0.568	0.457	0	0	0	0.605	0.605	0	0.58	0.494	0	0	0	0	0	0.457	0.457	0	0.469	0.605	0
STAD_3_PIK3CA	0.674	0	0	0	0.565	0.587	0.913	0.783	0.804	0.674	0.543	0	0.652	0	0.652	0.543	0	0	0	0.696	0.717	0	0.674	0	0	0	0.543	0	0	0	0.587	0.522	0.674	0.761	0
STAD_4_DMD	0.647	0	0.588	0	0.529	0	0.853	0.824	0.794	0.706	0	0	0.588	0	0.706	0.647	0	0.5	0.559	0.765	0.794	0	0.618	0	0	0	0	0	0.559	0	0.618	0	0	0.706	0.559
STAD_5_GLI3	0.714	0.464	0.571	0	0	0	0.857	0.75	0.75	0	0	0.5	0	0	0.714	0.536	0.536	0	0.5	0.643	0.679	0	0.679	0.5	0	0	0	0	0.571	0	0.643	0	0.571	0.679	0
STAD_6_CREBBP	0.6	0	0.55	0	0	0.5	0.85	0.75	0.8	0.65	0	0	0.45	0.45	0.75	0.6	0.45	0	0	0.75	0.7	0	0.65	0	0	0	0	0	0	0	0.6	0	0.5	0.6	0.45
STAD_7_LAMA1	0.792	0	0.625	0	0.542	0.583	0.792	0.75	0.792	0.667	0	0	0.625	0	0.583	0.667	0	0.542	0	0.625	0.583	0	0.75	0	0	0	0	0	0.542	0	0.583	0	0.583	0.667	0
STAD_8_RYR2	0.844	0	0.656	0.594	0	0	0.938	0.688	0.938	0.594	0	0.531	0.562	0	0.781	0.656	0.625	0	0	0.812	0.844	0	0.75	0	0	0	0	0	0.562	0	0.594	0	0.656	0.781	0
STAD_9_EGFR	0.591	0	0.545	0	0	0	0.773	0.727	0.773	0.636	0	0	0	0	0.545	0.591	0.455	0	0.5	0.636	0.636	0	0.591	0	0.455	0.5	0	0	0.591	0	0.591	0	0.409	0.636	0
STAD_10_ACTN2	0.632	0	0.579	0	0	0	0.842	0.684	0.789	0.526	0	0.526	0	0	0.632	0.579	0.526	0.474	0.526	0.684	0.684	0	0.632	0	0	0	0	0	0.526	0	0.684	0	0.579	0.842	0
STAD_11_PTK2	0.6	0	0.4	0	0	0	0.8	0.75	0.75	0.7	0	0	0.4	0.35	0.6	0.4	0	0	0	0.6	0.55	0.35	0.6	0	0.35	0	0	0	0.5	0	0.4	0	0.5	0.65	0
STAD_12_ERBB4	0.741	0.519	0	0	0.519	0	0.815	0.741	0.815	0.519	0	0.481	0.556	0.519	0.704	0	0	0.481	0	0.667	0.667	0	0.481	0.519	0	0	0	0	0	0	0	0	0.667	0.704	0.444
STAD_13_ERBB3	0.55	0	0	0	0.45	0.7	0.9	0.75	0.75	0.6	0	0	0.5	0.6	0.65	0.45	0	0.45	0	0.7	0.7	0	0.6	0.4	0	0	0	0.5	0	0	0	0	0.65	0.75	0
STAD_14_KRAS	0.741	0.519	0	0	0	0	0.815	0.519	0.704	0.444	0	0.444	0	0.481	0.63	0.519	0.481	0	0	0.667	0.667	0	0.63	0.481	0	0.481	0	0	0.593	0	0	0	0.704	0.778	0
STAD_15_SMAD4	0.75	0	0.583	0	0	0	0.875	0.75	0.625	0.583	0	0.5	0.542	0	0.667	0.583	0	0	0.542	0.667	0.667	0	0.667	0	0	0	0.542	0	0.542	0	0.542	0	0.667	0.583	0
STAD_16_MAP2K4	0	0	0.583	0.583	0	0	0.667	0.583	0.5	0	0	0.5	0.583	0	0.75	0.583	0.583	0.5	0	0.583	0.667	0	0.583	0.583	0	0	0.583	0	0	0	0.583	0	0.667	0.5	0
STAD_17_COL12A1	0.864	0	0.682	0.591	0.591	0.591	0.909	0.818	0.909	0.591	0	0	0.682	0.545	0.818	0.636	0.636	0	0	0.864	0.909	0	0.727	0	0	0	0	0	0	0	0	0	0	0.591	0.591
STAD_18_PCDH15	0.69	0.69	0	0	0.483	0.483	0.931	0.793	0.724	0.483	0	0.724	0.552	0.483	0.793	0	0	0.483	0	0.828	0.862	0	0.655	0.69	0	0	0	0	0	0	0	0	0.69	0.724	0
STAD_19_COL14A1	0.583	0.417	0.417	0	0	0	0.792	0.667	0.792	0.625	0	0.458	0.417	0.417	0.458	0.458	0	0	0	0.583	0.583	0	0.5	0.417	0	0	0	0	0.5	0	0	0	0.5	0.792	0
STAD_20_LRP1B	0.646	0	0.542	0	0	0	0.875	0.75	0.854	0.625	0	0	0.521	0	0.667	0.562	0.5	0	0.458	0.688	0.688	0	0.646	0	0	0	0	0	0.458	0	0.521	0	0.521	0.75	0.479
